kaynak,bolum,kac_kez,hadis_meali_hutbede_gecen,tema,tarih,hutbe_basligi
Tirmizî,Birr,45,Küçüğümüze merhamet etmeyen bizden değildir.,Kur'an-ı Kerim,17.06.2016,"KUR’ÂN, RAMAZAN VE ÇOCUK"
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır.","Aile, Çocuk ve Nesil",17.06.2022,"HAYDİ KOŞ GEL, CAMİLER SENİNLE GÜZEL"
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunamaz.",Peygamberimiz ve Ashab,18.02.2022,PEYGAMBERİMİZİN AHLAKI KUR’AN’DI
Tirmizî,Birr,45,"Rabbin hoşnutluğu, anne-babanın hoşnutluğundadır. Rabbin öfkesi de anne-babanın öfkesindedir.","Aile, Çocuk ve Nesil",19.03.2021,"ANNE-BABA RIZASI, RABBİMİZİN RIZASINA VESİLEDİR"
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır.","Aile, Çocuk ve Nesil",20.04.2018,YARINLARIMIZIN ÜMİDİ ÇOCUKLARIMIZ
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır.","Aile, Çocuk ve Nesil",20.06.2025,"HER YAZ YENİ BİR HEYECAN: CAMİ, ÇOCUK VE KUR’AN"
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır.","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",21.06.2024,YAZA KUR’AN’LA MERHABA
Tirmizî,Birr,45,"Rabbin rızası, anne babanın rızasına, öfkesi de anne babanın öfkesine bağlıdır","Aile, Çocuk ve Nesil",22.02.2019,"YAŞLILARA HÜRMET, ÖMRÜMÜZE BEREKET"
Tirmizî,Birr,45,"Bir genç, ihtiyar bir kimseye yaşından dolayı hürmet ederse, Allah da ona yaşlılığında kendisine hürmet edecek birisini hazırlar.","Aile, Çocuk ve Nesil",22.02.2019,"YAŞLILARA HÜRMET, ÖMRÜMÜZE BEREKET"
Tirmizî,Birr,45,"Mümin; insanları karalayan, lânet eden, kaba ve kötü sözlü, hayâsız birisi değildir.","Ahlak, Erdem ve Söz",22.05.2026,SÖZ AHLAKI VE SOSYAL MEDYA
Tirmizî,Birr,45,"Anne baba, kişinin cennete girmesine vesile olacak ana kapılardan birisidir…","Aile, Çocuk ve Nesil",23.06.2023,BABA: CENNETE AÇILAN KAPI
Tirmizî,Birr,45,"Ne iyi ettin! Attığın adımlar hayırlı olsun, cennette bir yerin yuvan olsun.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",23.07.2021,MÜSLÜMAN’IN MÜSLÜMAN ÜZERİNDEKİ HAKLARI
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir miras bırakmamıştır.","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",23.09.2016,ALLAH’IM! İLİMLE YÜCELT BİZİ!
Tirmizî,Birr,45,Bir baba çocuğuna güzel ahlâktan daha değerli bir miras bırakmış olamaz.,"Aile, Çocuk ve Nesil",24.01.2020,SORUMLULUK SAHİBİ BİR BABA OLABİLMEK
Tirmizî,Birr,45,"Nerede olursan ol, Allah’a karşı sorumluluğunun bilincinde ol! Kötülüğün peşinden iyi bir şey yap ki onu yok etsin. İnsanlara da güzel ahlâka uygun biçimde davran!","Vatan, Millet ve Tarih",24.07.2026,İSLAM MEDENİYETİ
Tirmizî,Birr,45,"Merhamet edene Rahmân da merhamet eder. Siz yerdekilere merhamet edin ki, göktekiler de size merhamet etsin.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",24.11.2023,"İSLAM, ŞEFKAT VE MERHAMETİ EMREDER"
Tirmizî,Birr,45,Hiçbir anne baba çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır.,Kur'an-ı Kerim,25.06.2021,KUR’AN’IN MANEVÎ İKLİMİYLE BULUŞALIM
Tirmizî,Birr,45,"Bir genç, ihtiyar bir kimseye yaşından dolayı hürmet ederse, Allah da ona yaşlılığında kendisine hürmet edecek birisini hazırlar.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",25.11.2022,MERHAMET TOPLUMU
Tirmizî,Birr,45,"Hiçbir baba, çocuğuna güzel ahlaktan daha kıymetli bir miras bırakmamıştır.","Aile, Çocuk ve Nesil",26.06.2020,YUVALARIMIZ KUR’AN İLE AYDINLANSIN
Tirmizî,Birr,45,"Bir genç, bir ihtiyara hürmet ederse, Allah da ona yaşlılığında hürmet edecek birisini hazırlar.","Aile, Çocuk ve Nesil",26.07.2024,"CENNET VESİLEMİZ, AİLE BÜYÜKLERİMİZ"
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunamaz","Sabır, Tevekkül ve Manevi Olgunluk",27.03.2026,TEVEKKÜL
Tirmizî,Birr,45,Hiçbir baba çocuğuna edebden daha değerli bir şey kazandıramaz.,"Ahlak, Erdem ve Söz",28.06.2013,İSLÂMÎ BİR DEĞERİMİZ: EDEB
Tirmizî,Birr,45,"Benim dünyadaki çiçeğim, reyhanım","Kandiller, Muharrem ve Mübarek Geceler",28.07.2023,MUHARREM AYININ ÖNEMİ VE EHL-İ BEYT-İ MUSTAFA
Tirmizî,Birr,45,"Kim bir yaşlıya yaşından dolayı hürmet ederse, Allah da ona, yaşlılığında hürmet edecek birisini gönderir.",Peygamberimiz ve Ashab,29.08.2025,ÂLEMLERE RAHMET HZ. MUHAMMED (S.A.S)
Tirmizî,Birr,45,"Bir genç, bir yaşlıya yaşından dolayı hürmet ederse, Allah da ona, yaşlılığında hürmet edecek birisini gönderir.","Aile, Çocuk ve Nesil",29.10.2021,"YAŞLILARIMIZA VEFA, RAHMET VE MAĞFİRET VESİLEMİZDİR"
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır.","Aile, Çocuk ve Nesil",30.06.2023,ÇOCUKLARIMIZIN ÜZERİMİZDE HAKKI
Tirmizî,Birr,45,"Hiçbir baba, çocuğuna güzel terbiyeden daha kıymetli bir miras bırakmamıştır.","Aile, Çocuk ve Nesil",30.10.2020,PEYGAMBERİMİZ VE ÇOCUK
Ahmed b. Hanbel,Müsned,40,Güzel söz sadakadır.,"Ahlak, Erdem ve Söz",04.04.2014,DOĞRULUK VE SADAKA
Ahmed b. Hanbel,Müsned,40,Yolunu kaybedene yol göstermeniz sadakadır.,"Ahlak, Erdem ve Söz",04.04.2014,DOĞRULUK VE SADAKA
Ahmed b. Hanbel,Müsned,40,Bir kimsenin yükünü yüklemesi için yardımcı olman sadakadır.,"Ahlak, Erdem ve Söz",04.04.2014,DOĞRULUK VE SADAKA
Ahmed b. Hanbel,Müsned,40,Yanınızda çalışanlara yedirdiğiniz sadakadır.,"Ahlak, Erdem ve Söz",04.04.2014,DOĞRULUK VE SADAKA
Ahmed b. Hanbel,Müsned,40,"Mümin, bal arısına benzer. Bal arısı gibi hep güzel, temiz, helal şeyler yer. Hep güzel şeyler üretir, hep iyiliklerin peşinden koşar. Hiçbir şeyi ne döker, ne kırar, ne de ifsat eder","Ahlak, Erdem ve Söz",05.06.2026,DUYARLILIK
Ahmed b. Hanbel,Müsned,40,Kalp istikamet üzere olmadan kişinin imanı istikamet üzere olamaz. Dil istikamet üzere olmadan kişinin kalbi istikamet üzere olamaz. Komşusu kötülüklerinden emin olmayan kişi de cennete giremez.,"Sabır, Tevekkül ve Manevi Olgunluk",07.03.2014,İMAN VE İSTİKAMET ÜZERE OLMAK
Ahmed b. Hanbel,Müsned,40,"Emanete riayet edenin imanı olgunlaşmıştır, ahde vefa gösterenin ise dini kemâle ermiştir.","Ahlak, Erdem ve Söz",07.11.2025,VEFA İMANDANDIR
Ahmed b. Hanbel,Müsned,40,Mümin cana yakındır. İnsanlarla yakınlık kurmayan ve kendisiyle yakınlık kurulamayan kimsede hayır yoktur.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",09.10.2020,MÜMİNİN YUMUŞAK HUYLULUĞU
Ahmed b. Hanbel,Müsned,40,"Allah, kadınlara benzemeye çalışan erkeklere ve erkeklere benzemeye çalışan kadınlara lanet etmiştir.","Aile, Çocuk ve Nesil",10.01.2025,"FITRATI KORUMAK, AİLEYİ KORUMAKTIR"
Ahmed b. Hanbel,Müsned,40,"Vâbisa! İyilik ve kötülük konusunda kalbine, vicdanına danış! Zira iyilik, kendisiyle gönlünün huzur bulduğu ve vicdanını rahatlatandır. Kötülük ise, insanlar onaylasalar bile gönlünü huzursuz eden ve vicdanına endişe verendir.","Ahlak, Erdem ve Söz",10.03.2017,KÖTÜLÜĞE ENGEL OLABİLMENİN YOLU İYİLİKTİR
Ahmed b. Hanbel,Müsned,40,Mümin cana yakındır. İnsanlarla yakınlık kurmayan ve kendisiyle yakınlık kurulamayan kimsede hayır yoktur.,"Sabır, Tevekkül ve Manevi Olgunluk",10.12.2021,MÜMİN CANA YAKINDIR
Ahmed b. Hanbel,Müsned,40,"Ben, güzel ahlakı tamamlamak için gönderildim.","Sabır, Tevekkül ve Manevi Olgunluk",12.08.2022,"İMAN, SALİH AMEL VE GÜZEL AHLAKLA KEMALE ERER"
Ahmed b. Hanbel,Müsned,40,"Mümin, kendisiyle dostluk kurulabilen kişidir. İnsanlarla dost olmayan ve kendisiyle dostluk kurulamayanda hayır yoktur.","İman, Tevhid ve Ahiret",13.12.2013,DÜNYADA YOLCU OLABİLMEK!
Ahmed b. Hanbel,Müsned,40,Elinden ve dilinden insanların güvende olduğu kişi,Peygamberimiz ve Ashab,14.04.2017,HZ. PEYGAMBER VE GÜVEN TOPLUMU
Ahmed b. Hanbel,Müsned,40,Kim gönülden inanarak okunan ezanı tekrar ederse cennete girer.,"Ramazan, Oruç ve Bayramlar",16.06.2023,İSLAM’IN İKİ ŞİÂRI: EZAN VE KURBAN
Ahmed b. Hanbel,Müsned,40,"Şüphesiz ki Allah, hevasına tabi olmayan, haktan sapmayan genci sever","Kandiller, Muharrem ve Mübarek Geceler",16.11.2018,MEVLİD-İ NEBİ
Ahmed b. Hanbel,Müsned,40,"Mümin, cana yakın kimsedir. İnsanlarla dostluk kurmayan, kendisiyle dostluk kurulamayan kimsede hayır yoktur.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",17.04.2015,"DÜNYA BİZE, BİZ BİRBİRİMİZE EMANETİZ!"
Ahmed b. Hanbel,Müsned,40,Mümin cana yakındır. İnsanlarla yakınlık kurmayan ve kendisiyle yakınlık kurulamayan kimsede hayır yoktur.,"Aile, Çocuk ve Nesil",17.04.2020,AİLE: HUZUR VE GÜVEN KAYNAĞI
Ahmed b. Hanbel,Müsned,40,güzel ahlakı tamamlamak üzere gönderilen,"Ahlak, Erdem ve Söz",17.05.2019,PEYGAMBERİMİZİN TARİFİYLE HAYIRLI MÜSLÜMAN
Ahmed b. Hanbel,Müsned,40,"Kıyamet günü müminin gölgeliği, onun verdiği sadakadır.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",17.08.2018,SADAKA-İ CÂRİYE
Ahmed b. Hanbel,Müsned,40,Elinden ve dilinden hiç kimsenin zarar görmediği bir Müslüman,"Ahlak, Erdem ve Söz",18.06.2021,MÜSLÜMAN ŞAHSİYETİ
Ahmed b. Hanbel,Müsned,40,"Rabbiniz birdir. Babanız da birdir. Hepiniz Âdem'in çocuklarısınız, Âdem ise topraktandır. Arabın Arap olmayana, Arap olmayanın da Araba, beyaz tenlinin siyaha, siyah tenlinin de beyaza takva dışında bir üstünlüğü yoktur.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",19.04.2013,İNSAN KALABİLMEK
Ahmed b. Hanbel,Müsned,40,"Birlikte rahmet, ayrılıkta azap vardır","Kandiller, Muharrem ve Mübarek Geceler",19.06.2026,BİRLİKTE RAHMET VARDIR
Ahmed b. Hanbel,Müsned,40,"Mümin bal arısı gibidir. Bal arısı, hep güzel şeyler yer, hep güzel şeyler üretir. Her yere konar, ama hiçbir şeyi ne döker, ne kırar, ne de ifsat eder","Ekonomik Hayat: Kazanç, Zekat ve İsraf",19.07.2013,"HELAL KAZANÇ, HELAL LOKMA"
Ahmed b. Hanbel,Müsned,40,"Mümin, bal arısına benzer. Bal arısı gibi hep güzel, temiz, helal şeyler yer. Hep güzel şeyler üretir, hep iyiliklerin peşinden koşar. Hiçbir şeyi ne döker, ne kırar, ne de ifsat eder","Ahlak, Erdem ve Söz",20.01.2017,RAHMÂN’IN MÜMİN KULLARI
Ahmed b. Hanbel,Müsned,40,"Kim bir iyilik yaptığında seviniyor, bir kötülük yaptığında üzülüyorsa o mümindir.","Ahlak, Erdem ve Söz",20.09.2024,PEYGAMBERİMİZ (S.A.S) VE ŞAHSİYET İNŞASI
Ahmed b. Hanbel,Müsned,40,"İnsanların benim gözümde en üstün olanları, kim olurlarsa olsunlar ve hangi makam ve mevkide bulunurlarsa bulunsunlar, takva sahibi olanlarıdır.","Ahlak, Erdem ve Söz",20.12.2019,TAKVA: EN HAYIRLI AZIĞIMIZ
Ahmed b. Hanbel,Müsned,40,Takva işte buradadır,"Ahlak, Erdem ve Söz",20.12.2019,TAKVA: EN HAYIRLI AZIĞIMIZ
Ahmed b. Hanbel,Müsned,40,Emanete riayet etmeyen kimsenin imanı kemale ermez. Ahde vefa göstermeyen kimse de kâmil anlamda dindar olamaz.,"İman, Tevhid ve Ahiret",21.04.2017,MÜMİN GÜVENEN VE GÜVENİLEN İNSANDIR
Ahmed b. Hanbel,Müsned,40,Kıyamet kopuyor olsa dahi elinizdeki fidanı yere dikin.,Peygamberimiz ve Ashab,21.07.2023,HİCRET: İDEALLER UĞRUNA ÇIKILAN KUTLU BİR SEFER
Ahmed b. Hanbel,Müsned,40,Ben ahlaki güzellikleri tamamlamak için gönderildim.,Peygamberimiz ve Ashab,21.10.2016,ALLAH’A VERDİĞİ SÖZE SADIK KİMSE: MÜMİN
Ahmed b. Hanbel,Müsned,40,Mümin cana yakındır. İnsanlarla yakınlık kurmayan ve kendisiyle yakınlık kurulamayan kimsede hayır yoktur.,"Aile, Çocuk ve Nesil",23.01.2026,AKRAN İLİŞKİLERİ
Ahmed b. Hanbel,Müsned,40,"Mümin, cana yakındır. İnsanlarla iyi geçinemeyen, kendisiyle de iyi geçinilmeyen kimsede hayır yoktur.",Peygamberimiz ve Ashab,23.08.2024,ÂDÂB-I MUÂŞERETTE DE REHBERİMİZ ALLAH RESÛLÜ (S.A.S)’DİR
Ahmed b. Hanbel,Müsned,40,"Ben, güzel ahlakı tamamlamak için gönderildim.","Kandiller, Muharrem ve Mübarek Geceler",23.10.2020,MEVLİD-İ NEBİ
Ahmed b. Hanbel,Müsned,40,"İstanbul mutlaka fethedilecektir. Onu fetheden komutan ne güzel komutan, onu fetheden ordu ne güzel ordudur.","Vatan, Millet ve Tarih",24.05.2024,İSLAM MEFKÛRESİNİ DİRİ TUTALIM
Ahmed b. Hanbel,Müsned,40,"Kıyamet günü en ağır azaba uğrayacak olanlar, dünyada insanlara azap edip, şiddeti reva görenlerdir.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",24.11.2023,"İSLAM, ŞEFKAT VE MERHAMETİ EMREDER"
Ahmed b. Hanbel,Müsned,40,"Namaz, kendisini kılmaya devam eden kimse için kıyamet gününde nur, delil ve kurtuluş beratı olur.",İbadet ve Kulluk,27.01.2017,NAMAZI ZAYİ ETMEK
Ahmed b. Hanbel,Müsned,40,"Ey âdemoğlu! Her durumda kendini bana kulluğa ada ki, gönlünü zenginlikle doldurup ihtiyacını gidereyim.","Kandiller, Muharrem ve Mübarek Geceler",28.01.2022,ÜÇ AYLAR: RAHMET VE MAĞFİRET VESİLEMİZ
Ahmed b. Hanbel,Müsned,40,Ben güzel ahlakı tamamlamak için gönderildim.,"Ahlak, Erdem ve Söz",29.09.2023,"PEYGAMBERİMİZ, İMAN VE İSTİKAMET"
Ahmed b. Hanbel,Müsned,40,Ben güzel ahlakı tamamlamak üzere gönderildim.,İbadet ve Kulluk,30.09.2022,ONUN (S.A.S) ÇAĞRISI
Tirmizî,Sıfatü’l-kıyâme,37,"Akıllı kişi, alçak gönüllü olan, kendini hesaba çeken ve ölümden sonrası için çalışandır.","Ramazan, Oruç ve Bayramlar",01.05.2020,RAMAZAN VE SORUMLULUK BİLİNCİ
Tirmizî,Sıfatü’l-kıyâme,37,Malımızı nereden kazanıp nerede harcadığımız,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",01.06.2018,MEŞRU OLMAYAN KAZANÇ: FAİZ
Tirmizî,Sıfatü’l-kıyâme,37,"Kıyamet gününde insanoğlu, şu beş şeyden hesaba çekilmedikçe Rabbinin huzurundan bir yere kımıldayamaz: Ömrünü nerede ve nasıl tükettiğinden, gençliğini ne şekilde geçirdiğinden, malını/servetini nereden kazanıp nerelere harcadığından, bildiği ile amel edip etmediğinden.","Ahlak, Erdem ve Söz",01.09.2017,İMAN VE İSLAM’IN TEZAHÜRÜ: FAYDASIZ ŞEYLERDEN UZAK DURMAK
Tirmizî,Sıfatü’l-kıyâme,37,"Kıyamet günü insan şu beş şeyden hesaba çekilmedikçe, Rabbinin huzurundan bir yere kıpırdayamaz: Ömrünü ne uğruna tükettiğinden, gençliğini nasıl geçirdiğinden, malını nereden kazandığından, nereye harcadığından ve bildiği ile amel edip etmediğinden.","Sabır, Tevekkül ve Manevi Olgunluk",02.10.2020,MURAKABE VE MUHASEBE BİLİNCİ
Tirmizî,Sıfatü’l-kıyâme,37,"Kıyamet gününde insanoğlu şu beş şeyden hesaba çekilmedikçe Rabbinin huzurundan bir yere kımıldayamaz: Ömrünü nerede ve nasıl geçirdiğinden, gençliğini nerede yıprattığından, malını nereden kazandığından, malını nerede harcadığından, bildiği ile amel edip etmediğinden.","Afet, Kriz ve Sağlık",04.03.2022,BAĞIMLILIK: İNSAN ONURUYLA BAĞDAŞMAYAN HASTALIK
Tirmizî,Sıfatü’l-kıyâme,37,"Ey insanlar! Selâmı aranızda yaygınlaştırın, yemek yedirin, akrabalık bağlarınızı gözetin, insanlar uyurken namaz kılın ki selâmetle cennete giresiniz.","Ramazan, Oruç ve Bayramlar",04.06.2019,RAMAZAN BAYRAMI
Tirmizî,Sıfatü’l-kıyâme,37,"Asıl elde tuttuğun değil, dağıttığın bizimdir.","İman, Tevhid ve Ahiret",04.12.2015,BEDEN ÜLKESİNİN SULTANI: KALP
Tirmizî,Sıfatü’l-kıyâme,37,"İnsanoğlu kıyamet günü ömrünü nerede tükettiğinden, gençliğini nerede geçirdiğinden, malını nereden kazandığından ve nereye harcadığından, öğrendikleriyle amel edip etmediğinden hesaba çekilmedikçe yerinden asla kımıldayamayacaktır.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",05.05.2023,İSRAF: TÜKETİRKEN TÜKENMEK
Tirmizî,Sıfatü’l-kıyâme,37,Gaflete dalarak ölümü ve ölüm sonrası hayatı unutan kul ne bedbahttır!,"İman, Tevhid ve Ahiret",06.05.2016,O BÜYÜK GÜNE HAZIR MIYIZ?
Tirmizî,Sıfatü’l-kıyâme,37,Sizden biriniz kendisi için istediğini mümin kardeşi için de istemedikçe gerçek manada iman etmiş olamaz.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",07.06.2013,MÜMİNLER KARDEŞTİRLER
Tirmizî,Sıfatü’l-kıyâme,37,"Ey insanlar! Selâmı aranızda yayın, birbirinize yemek ikram edin, insanlar uykuda iken namaz kılın ki, selâmetle cennete giresiniz.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",07.12.2018,SELÂM: İSLÂM’IN GÜVEN VE BARIŞ ÇAĞRISI
Tirmizî,Sıfatü’l-kıyâme,37,"Ey Âişe, desene bir kürek kemiği hariç tamamı bizim oldu.","Ekonomik Hayat: Kazanç, Zekat ve İsraf",08.05.2020,"RAMAZAN: İNFAK, YARDIMLAŞMA VE PAYLAŞMA AYI"
Tirmizî,Sıfatü’l-kıyâme,37,Dini dünyaya alet eden insan ne kötüdür! Arzu ve isteklerinin kendisini saptırdığı insan ne kötüdür!,"Vatan, Millet ve Tarih",09.07.2021,"İHANETE KARŞI SADAKATE, CESARETE VE ŞEHADETE ŞAHİDİZ"
Tirmizî,Sıfatü’l-kıyâme,37,"Kendisi cehennem ateşine ve cehennem ateşi de kendisine haram olan kişiyi size bildireyim mi? Cana yakın, yumuşak huylu, kolaylaştırıcı kimse.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",09.10.2020,MÜMİNİN YUMUŞAK HUYLULUĞU
Tirmizî,Sıfatü’l-kıyâme,37,…Dini dünyaya alet eden insan ne kötüdür!... Arzu ve isteklerinin kendisini saptırdığı insan ne kötüdür!...,"Vatan, Millet ve Tarih",10.07.2026,DİN İSTİSMARI
Tirmizî,Sıfatü’l-kıyâme,37,Ey Âişe! Desene bir kürek kemiği hariç hepsi bizim oldu,"Ramazan, Oruç ve Bayramlar",10.08.2018,"KURBAN, ALLAH’A YAKINLAŞMA VESİLESİDİR"
Tirmizî,Sıfatü’l-kıyâme,37,Sizden biriniz kendisi için istediğini mümin kardeşi için de istemedikçe gerçek manada iman etmiş olamaz.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",10.10.2014,BİZ KARDEŞİZ
Tirmizî,Sıfatü’l-kıyâme,37,Dini dünya işlerine alet eden insan ne kötüdür! Arzu ve isteklerinin kendisini saptırdığı insan ne kötüdür!,"Vatan, Millet ve Tarih",11.07.2025,SAHİH DİNİ BİLGİNİN ÖNEMİ
Tirmizî,Sıfatü’l-kıyâme,37,Dini dünyaya alet ederek istismar eden insan ne kötüdür!... Arzu ve isteklerinin kendisini saptırdığı insan ne kötüdür!,"Vatan, Millet ve Tarih",12.07.2024,15 TEMMUZ: MİLLETİMİZİN DESTANSI ZAFERİ
Tirmizî,Sıfatü’l-kıyâme,37,Âhiret gününde ne altın ne de gümüş para vardır. Bu nedenle haksızlık yapanın iyilik ve sevapları varsa bunlardan alınıp hak sahibine verilir. Şayet sevabı yoksa mağdur ettiği kişinin günahlarını yüklenir.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",12.10.2018,"CENÂB-I HAK, HER HAK SAHİBİNE HAKKINI VERMİŞTİR"
Tirmizî,Sıfatü’l-kıyâme,37,Sizden biriniz kendisi için istediğini mümin kardeşi için de istemedikçe gerçek manada iman etmiş olamaz.,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",13.04.2012,KARDEŞLİK AHLAKI VE HUKUKU
Tirmizî,Sıfatü’l-kıyâme,37,"Ey Aişe! Sen öyle bir söz söyledin ki, o söz denize karışsaydı denizin suyunu bile kirletirdi.","Ahlak, Erdem ve Söz",15.12.2017,KARDEŞLİĞE SAPLANAN HANÇER: GIYBET
Tirmizî,Sıfatü’l-kıyâme,37,"önce devesini bağlar, sonra tevekkül eder.","Afet, Kriz ve Sağlık",16.08.2019,GÜVENLİ BİR HAYAT İÇİN AFETLERE HAZIR OLALIM
Tirmizî,Sıfatü’l-kıyâme,37,"İnsanoğluna beş şeyden hesap sorulmadıkça kıyamet günü hiçbir tarafa hareket etmeyecektir; Ömrünü nerede ve nasıl tükettiğinden, gençliğini nerde yıprattığından, malını nerden kazanıp nerde harcadığından öğrendiği bilgilerle yaşayıp yaşamadığından.","Aile, Çocuk ve Nesil",17.10.2014,ARŞIN GÖLGESİNDEKİ GENÇLİK
