tarih,yil,baslik,ana_tema,ikincil_temalar,atif_sayisi
28.07.2014,2014,RAMAZAN BAYRAMI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar",0
08.08.2014,2014,"SADIK İMAN, SAMİMİ NİYET, SALİH AMEL","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk",4
15.08.2014,2014,PEYGAMBERE İMAN OLMADAN ALLAH’A İMAN OLMAZ,Peygamberimiz ve Ashab,"İman, Tevhid ve Ahiret",1
22.08.2014,2014,HAYÂ HAYATTIR!,"Ahlak, Erdem ve Söz",,12
26.09.2014,2014,İŞ VE TİCARET AHLAKI-ÂHİLİK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,7
03.10.2014,2014,KURBAN ALLAH’A YAKIN OLMAK İÇİNDİR,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; İbadet ve Kulluk",2
04.10.2014,2014,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; İbadet ve Kulluk",1
10.10.2014,2014,BİZ KARDEŞİZ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz",3
17.10.2014,2014,ARŞIN GÖLGESİNDEKİ GENÇLİK,"Aile, Çocuk ve Nesil",,3
24.10.2014,2014,HİCRET: FITRATA YAPILAN YOLCULUK,"Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab; Sabır, Tevekkül ve Manevi Olgunluk",1
31.10.2014,2014,ORTAK HÜZÜN VE İBRET AYI: MUHARREM,"Kandiller, Muharrem ve Mübarek Geceler",,3
07.11.2014,2014,MESCİD-İ AKSÂ KAN AĞLIYOR,İslam Coğrafyası ve Küresel Meseleler,,1
21.11.2014,2014,HAYIR HAZİNELER DOLUSUDUR,"Afet, Kriz ve Sağlık","İman, Tevhid ve Ahiret; Peygamberimiz ve Ashab",4
28.11.2014,2014,DİLİN ESİRİ OLMAYALIM!,"Ahlak, Erdem ve Söz",,2
05.12.2014,2014,AHİRET: HESAP VERME BİLİNCİ,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk",4
12.12.2014,2014,"MUSİBETLER KARŞISINDA SABIR, MÜMİNCE BİR TAVIRDIR","Sabır, Tevekkül ve Manevi Olgunluk",,4
26.12.2014,2014,PAHA BİÇİLMEZ SERMAYE: ÖMÜR,"Sabır, Tevekkül ve Manevi Olgunluk",,3
13.03.2015,2015,ÇANAKKALE ŞEHİTLERİNE…,"Vatan, Millet ve Tarih",,2
20.03.2015,2015,İNSANI İYİLİK YAŞATIR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ahlak, Erdem ve Söz",10
17.04.2015,2015,"DÜNYA BİZE, BİZ BİRBİRİMİZE EMANETİZ!","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz",5
08.05.2015,2015,CANA CAN OLMAK: AİLE,"Aile, Çocuk ve Nesil",,11
12.06.2015,2015,KUR’AN AYINDA KUR’AN’LA BULUŞALIM!,Kur'an-ı Kerim,,2
19.06.2015,2015,VAKİT İYİLİK VAKTİ: BU RAMAZAN VE HER ZAMAN,"Ahlak, Erdem ve Söz","Ramazan, Oruç ve Bayramlar; Ekonomik Hayat: Kazanç, Zekat ve İsraf",3
26.06.2015,2015,TEVHİD İLE GELEN VAHDET,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret",1
03.07.2015,2015,CENNET KAPILARININ ANAHTARI: YETİMLER,"Aile, Çocuk ve Nesil","Ramazan, Oruç ve Bayramlar; Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
10.07.2015,2015,"KADİR GECESİ, KADİR BİLENLER İÇİNDİR","Kandiller, Muharrem ve Mübarek Geceler",Kur'an-ı Kerim,1
17.07.2015,2015,RAMAZAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk; Toplumsal Dayanışma, Merhamet ve Kardeşlik",5
17.07.2015,2015,RAMAZAN MEKTEBİNİN ÖĞRETTİKLERİ,"Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk; Toplumsal Dayanışma, Merhamet ve Kardeşlik",5
07.08.2015,2015,KULLUĞUN ÖZÜ: İHSAN,"Sabır, Tevekkül ve Manevi Olgunluk",,4
14.08.2015,2015,İMANIN TEZAHÜRÜ: FEDAKÂRLIK VE İSÂR,İbadet ve Kulluk,"Aile, Çocuk ve Nesil; Peygamberimiz ve Ashab",2
21.08.2015,2015,BİRLİK VE BERABERLİĞİMİZİN HARCI: KARDEŞLİĞİMİZ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Vatan, Millet ve Tarih; Ahlak, Erdem ve Söz",2
28.08.2015,2015,HAC YOLCULUĞUNDAN HAK YOLCULUĞUNA,İbadet ve Kulluk,"İman, Tevhid ve Ahiret; Sabır, Tevekkül ve Manevi Olgunluk",3
04.09.2015,2015,"KARDEŞLİĞİ KÖRELTEN AFETLER: TECESSÜS, SU-İ ZAN…","Ahlak, Erdem ve Söz",,3
24.09.2015,2015,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Vatan, Millet ve Tarih",2
02.10.2015,2015,YARATAN RABBİNİN ADIYLA OKU!,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz; Aile, Çocuk ve Nesil",3
09.10.2015,2015,NAMAZ DİRİLİŞTİR,İbadet ve Kulluk,,9
16.10.2015,2015,MERHAMET İKSİRİNİ YUDUMLAYABİLMEK,"Kandiller, Muharrem ve Mübarek Geceler","Vatan, Millet ve Tarih",4
23.10.2015,2015,KERBELÂ’YI DOĞRU ANLAMAK,"Kandiller, Muharrem ve Mübarek Geceler",,3
30.10.2015,2015,"PEYGAMBERLER, İNSANLIĞIN YOLUNU AYDINLATAN REHBERLERDİR",Peygamberimiz ve Ashab,"İman, Tevhid ve Ahiret",1
06.11.2015,2015,HER İNSAN ALLAH’IN BİR ÂYETİDİR!,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,1
13.11.2015,2015,ZİKİR: KALPLERE HAYAT VEREN İKSİR,"Sabır, Tevekkül ve Manevi Olgunluk","İbadet ve Kulluk; İman, Tevhid ve Ahiret",2
20.11.2015,2015,KÜRESEL TERÖRÜN HEDEF ALDIĞI DİN: İSLAM,"Vatan, Millet ve Tarih","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",2
27.11.2015,2015,İMANI HAYAT KILABİLMEK,"Sabır, Tevekkül ve Manevi Olgunluk","Ahlak, Erdem ve Söz",3
04.12.2015,2015,BEDEN ÜLKESİNİN SULTANI: KALP,"Sabır, Tevekkül ve Manevi Olgunluk","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik",4
11.12.2015,2015,DÜNYA-AHİRET DENGESİ,"Sabır, Tevekkül ve Manevi Olgunluk",,1
18.12.2015,2015,RAHMET VE MERHAMET YÜKLÜ ADALET PEYGAMBERİ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,3
25.12.2015,2015,SAYILI NEFESLERİMİZİ TÜKETİRKEN…,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret",4
01.01.2016,2016,RABBİMİZ! BİZİ DOSDOĞRU YOLA İLET!,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret; Ahlak, Erdem ve Söz",1
08.01.2016,2016,EDEP VE HAYÂ,"Ahlak, Erdem ve Söz","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",1
15.01.2016,2016,İMTİHANIN ADI: FİTNE,"Ahlak, Erdem ve Söz","Sabır, Tevekkül ve Manevi Olgunluk; Vatan, Millet ve Tarih",1
22.01.2016,2016,SÖZ AHLAKI,"Ahlak, Erdem ve Söz",,3
29.01.2016,2016,EN GÜZEL İSİMLER O’NUNDUR,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret",1
05.02.2016,2016,ŞİMDİ YARALARI SARMA ZAMANI!,"Vatan, Millet ve Tarih","Aile, Çocuk ve Nesil; Ekonomik Hayat: Kazanç, Zekat ve İsraf",1
12.02.2016,2016,PEYGAMBERE İMAN TEVHİDİN BİR GEREĞİDİR,"İman, Tevhid ve Ahiret",Peygamberimiz ve Ashab; Kur'an-ı Kerim,0
19.02.2016,2016,PEYGAMBERLER ALLAH’IN KUTLU ELÇİLERİDİR,"İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab; Vatan, Millet ve Tarih",1
26.02.2016,2016,ÂHİRETE İMAN,"İman, Tevhid ve Ahiret",,0
04.03.2016,2016,KİTAPLARA İMAN,Kur'an-ı Kerim,"İman, Tevhid ve Ahiret",0
11.03.2016,2016,DÜNYAYI İYİLİK DEĞİŞTİRİR,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
18.03.2016,2016,ÇANAKKALE VE BİRLİK RUHU,"Vatan, Millet ve Tarih",,2
25.03.2016,2016,HAK VE HAKİKAT,"Sabır, Tevekkül ve Manevi Olgunluk","Toplumsal Dayanışma, Merhamet ve Kardeşlik",1
01.04.2016,2016,ÖFKEYE HÂKİM OLABİLMEK,"Sabır, Tevekkül ve Manevi Olgunluk","Ramazan, Oruç ve Bayramlar; Kandiller, Muharrem ve Mübarek Geceler",5
08.04.2016,2016,"HZ. PEYGAMBER, TEVHİD VE VAHDET","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret",1
15.04.2016,2016,TEVHİD VE VAHDET MEDENİYETİ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,2
22.04.2016,2016,TEVHİD VE VAHDETİN ÖNCÜSÜ MÜMİNLER,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,0
29.04.2016,2016,MİRAÇ KANDİLİ,"Kandiller, Muharrem ve Mübarek Geceler",İbadet ve Kulluk,0
06.05.2016,2016,O BÜYÜK GÜNE HAZIR MIYIZ?,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk",2
13.05.2016,2016,HUZUR VE MUHABBET OCAĞI: AİLEMİZ,"Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",2
20.05.2016,2016,MAHREMİYETİ YİTİRMEK MAHRUMİYETTİR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz; Aile, Çocuk ve Nesil",1
27.05.2016,2016,NAMAZ ARINMADIR,İbadet ve Kulluk,,2
03.06.2016,2016,GELİN GÖNÜLLER YAPALIM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar",2
10.06.2016,2016,KUR’AN AYI RAMAZAN,Kur'an-ı Kerim,"Vatan, Millet ve Tarih; Ramazan, Oruç ve Bayramlar",3
24.06.2016,2016,ARINMA VESİLESİ: ZEKÂT VE İNFAK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik",2
01.07.2016,2016,KADRİMİZİ YÜCELTEN GECE: KADİR GECESİ,"Vatan, Millet ve Tarih","Kandiller, Muharrem ve Mübarek Geceler; İman, Tevhid ve Ahiret",0
05.07.2016,2016,RAMAZAN BAYRAMI,"Ramazan, Oruç ve Bayramlar",,1
08.07.2016,2016,RABBİMİZE YAKINLAŞMA VESİLESİ: SILA-İ RAHİM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk",1
15.07.2016,2016,HAYATIMIZI İBADET KILABİLMEK,İbadet ve Kulluk,,3
22.07.2016,2016,"GÜN, MİLLETÇE KENETLENME VE GELECEĞİMİZİ İNŞA ETME GÜNÜDÜR","Vatan, Millet ve Tarih",,2
29.07.2016,2016,"EN BÜYÜK BOZGUNCULUK, DİNİN MUAZZEZ DEĞERLERİNİ İSTİSMAR ETMEKTİR.","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Ahlak, Erdem ve Söz",2
05.08.2016,2016,KULLUK SADECE ALLAH’A ÖZGÜDÜR,"İman, Tevhid ve Ahiret","İbadet ve Kulluk; Ahlak, Erdem ve Söz",1
12.08.2016,2016,SIRÂT-I MÜSTAKİM,Kur'an-ı Kerim,"İman, Tevhid ve Ahiret; Peygamberimiz ve Ashab",0
19.08.2016,2016,MÜMİN VE EMANET BİLİNCİ,"Vatan, Millet ve Tarih","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik",1
26.08.2016,2016,HAYAT VEREN DİN: İSLÂM,"Vatan, Millet ve Tarih",,2
02.09.2016,2016,KULLUK VE SAMİMİYET BEYANI: KURBAN,"Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk; Toplumsal Dayanışma, Merhamet ve Kardeşlik",0
09.09.2016,2016,BAYRAM VE HZ. İBRAHİM,Peygamberimiz ve Ashab,"Ramazan, Oruç ve Bayramlar; İbadet ve Kulluk",4
12.09.2016,2016,KURBAN BAYRAMI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar; İbadet ve Kulluk",1
16.09.2016,2016,EBEDİ BAYRAMLARA BİRLİKTE YOL ALABİLMEK,İbadet ve Kulluk,"Toplumsal Dayanışma, Merhamet ve Kardeşlik; İman, Tevhid ve Ahiret",0
23.09.2016,2016,ALLAH’IM! İLİMLE YÜCELT BİZİ!,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","İbadet ve Kulluk; Aile, Çocuk ve Nesil",1
30.09.2016,2016,CAMİ VE KİTAP MEDENİYETİ,İbadet ve Kulluk,"Kandiller, Muharrem ve Mübarek Geceler",1
07.10.2016,2016,YÜREKLERİMİZİ SAHRÂ-I KERBELÂ’YA DÖNÜŞTÜRMEYELİM,"Kandiller, Muharrem ve Mübarek Geceler",,3
14.10.2016,2016,HAYATA EMEKLE DOKUNMAK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ekonomik Hayat: Kazanç, Zekat ve İsraf",0
21.10.2016,2016,ALLAH’A VERDİĞİ SÖZE SADIK KİMSE: MÜMİN,Peygamberimiz ve Ashab,,3
04.11.2016,2016,ÖRNEK ÜMMET OLABİLMEK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret",2
11.11.2016,2016,KELİME-İ ŞEHÂDET,"İman, Tevhid ve Ahiret",,0
18.11.2016,2016,ÜMMÜ’L-KİTAP: FATİHA,İbadet ve Kulluk,,0
25.11.2016,2016,HAYATIN GAYESİ,İbadet ve Kulluk,,1
02.12.2016,2016,YERYÜZÜNÜN KÜÇÜK VE ONURLU HALİFESİ: ÇOCUK,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik",1
09.12.2016,2016,HALEP’TE İNSANLIK ÖLMESİN!,"Kandiller, Muharrem ve Mübarek Geceler",İbadet ve Kulluk,1
16.12.2016,2016,HER ZORLUKLA BERABER BİR KOLAYLIK VARDIR.,"Vatan, Millet ve Tarih",,4
23.12.2016,2016,ALLAH’IN YARDIMI MÜMİNLERLE BERABERDİR.,"Vatan, Millet ve Tarih",,2
30.12.2016,2016,ÖMÜR NİMETİ,"Sabır, Tevekkül ve Manevi Olgunluk","İbadet ve Kulluk; Kandiller, Muharrem ve Mübarek Geceler",3
06.01.2017,2017,"GÜN, TERÖRE KARŞI YEKVÜCUT OLMA GÜNÜDÜR","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Vatan, Millet ve Tarih",1
13.01.2017,2017,ALLAH’IN SEVDİĞİ BİR KUL OLABİLMEK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","İman, Tevhid ve Ahiret; Ahlak, Erdem ve Söz",0
20.01.2017,2017,RAHMÂN’IN MÜMİN KULLARI,"Ahlak, Erdem ve Söz","Sabır, Tevekkül ve Manevi Olgunluk",1
27.01.2017,2017,NAMAZI ZAYİ ETMEK,İbadet ve Kulluk,,3
03.02.2017,2017,"AHİT, AKİT VE MİSAK OLARAK NİKÂH","Aile, Çocuk ve Nesil",,1
10.02.2017,2017,MÜMİNCE YAKARIŞIN ADI: DUA,İbadet ve Kulluk,,6
17.02.2017,2017,ASR SURESİ’NİN ÖĞRETTİĞİ HAKİKATLER,"Sabır, Tevekkül ve Manevi Olgunluk",Kur'an-ı Kerim,0
24.02.2017,2017,ALLAH’A SIĞINMANIN EN GÜZEL İFADESİ: MUAVVİZETEYN SURESİ,İbadet ve Kulluk,"Ahlak, Erdem ve Söz",2
03.03.2017,2017,FİRDEVS CENNETİNE MİRASÇI OLMAK,"Ahlak, Erdem ve Söz",,1
10.03.2017,2017,KÖTÜLÜĞE ENGEL OLABİLMENİN YOLU İYİLİKTİR,"Ahlak, Erdem ve Söz",,1
17.03.2017,2017,ŞEHADETİN DESTANLAŞTIĞI YER: ÇANAKKALE,"Vatan, Millet ve Tarih",,2
24.03.2017,2017,HİKMET YÜKLÜ ÖĞÜTLER,"Ahlak, Erdem ve Söz","Kandiller, Muharrem ve Mübarek Geceler",0
31.03.2017,2017,"RAĞBETİMİZ, RABBİMİZE OLSUN!","Kandiller, Muharrem ve Mübarek Geceler",,2
07.04.2017,2017,ZULÜM EBEDİ DEĞİLDİR,İslam Coğrafyası ve Küresel Meseleler,İbadet ve Kulluk,2
14.04.2017,2017,HZ. PEYGAMBER VE GÜVEN TOPLUMU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Kandiller, Muharrem ve Mübarek Geceler",3
21.04.2017,2017,MÜMİN GÜVENEN VE GÜVENİLEN İNSANDIR,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Kandiller, Muharrem ve Mübarek Geceler; İslam Coğrafyası ve Küresel Meseleler",5
28.04.2017,2017,GÜVEN VE MUHABBET KÖPRÜSÜ: SELAM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,4
