tarih,yil,baslik,ana_tema,ikincil_temalar,ozet,anahtar_kelimeler
12.04.2013,2013,PEYGAMBERİMİZ VE İNSAN ONURU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",Peygamberimiz ve Ashab,"Bu hutbe, Peygamber'in veda hutbesindeki sözlerinden hareketle çocuklara, kadınlara, yaşlılara ve engellilere gösterdiği örnek onurlandırma davranışlarını somut olaylarla anlatır. Zahir, Bilal-i Habeşi ve Abdullah ibn Ümmü Mektum gibi örneklerle Peygamber'in ırk, renk ve fiziksel özelliklere hiç önem vermediği vurgulanır. Hutbe, günümüzde onuru zedelenen insanlara Peygamber'in ilkeleriyle sahip çıkma çağrısıyla sona erer.",insan onuru; peygamber örnekliği; bilal-i habeşi; yaşlılara saygı; engellilere değer vermek; ayrımcılık karşıtlığı
19.04.2013,2013,İNSAN KALABİLMEK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab; Sabır, Tevekkül ve Manevi Olgunluk","Bu hutbe, insanın yaratılış hikayesini ve Allah'ın insana bahşettiği onur ve şerefi anlatarak, günümüz insanlığının bu değeri makam, mevki ve parayla ölçer hale geldiğini eleştirir. Veda hutbesindeki 'ırk ve renk üstünlüğü yoktur, üstünlük ancak takvadadır' ilkesinin hâlâ geçerliliğini koruduğu vurgulanır. Hutbe, insan onurunu yeniden onarma ve Peygamber'e bağlılığı yenileme niyetiyle sona erer.",insan onuru; yaratılış; takva; eşitlik; veda hutbesi; değerlere yabancılaşma
07.06.2013,2013,MÜMİNLER KARDEŞTİRLER,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","Bu hutbe, kardeşliğin sadece söylemden ibaret olmadığını, gönülden gönüle uzanan bir samimiyet köprüsü olduğunu anlatır. Kardeşliğin kusurları örtmek, dertle dertlenmek ve birbirine karşı tek vücut olmak anlamına geldiği hadislerle desteklenir. Hutbe, müminlerin birbirine kaynaşması ve fitne-nifaktan korunması duasıyla sona erer.",kardeşlik; müslüman kardeşliği; birlik ve beraberlik; fitne; samimiyet; dayanışma
14.06.2013,2013,YAZ KUR’AN KURSLARI,Kur'an-ı Kerim,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Vatan, Millet ve Tarih","Bu hutbe, Kur'an-ı Kerim'in insanlığı hakikate, ahlaka ve adalete çağıran ilahi bir kitap olduğunu ve çocukların bu mesajla buluşması için yaz Kur'an kurslarının önemini anlatır. Yaz kurslarının çocukların kimlik inşası, özgüveni ve manevi gelişimi açısından büyük fırsat olduğu vurgulanır. Hutbe, ailelerin çocuklarını bu kurslara katmaya teşvik edilmesi çağrısıyla tamamlanır.",yaz kur'an kursları; çocuk eğitimi; dini eğitim; kimlik inşası; camiler; manevi gelişim
21.06.2013,2013,BERATA ULAŞABİLMEK,"Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk; İman, Tevhid ve Ahiret","Berat Kandili vesilesiyle verilen bu hutbe, bu gecenin kırgınlıkların onarıldığı, Allah'ın affına sığınma ve arınma zamanı olduğunu anlatır. Berat gecesinin Ramazan'a bir adım kala gelen bereketli bir fırsat olduğu vurgulanır. Hutbe, Arnavutluk'taki Müslümanlar için cami yapımına destek çağrısı ve Berat Kandili'nin tebrikiyle sona erer.",berat kandili; af dileme; arnavutluk; cami yardımı; arınma; kardeşlik
28.06.2013,2013,İSLÂMÎ BİR DEĞERİMİZ: EDEB,"Ahlak, Erdem ve Söz",,"Bu hutbe, edebin insanı utanılacak durumlardan koruyan bir irade ve vicdan duygusu olduğunu, Allah'a, nefse, insanlara ve tüm yaratılmışlara karşı farklı boyutları bulunduğunu anlatır. Edebin örnek olarak yaşanarak kazanılan bir değer olduğu ve nesillere aktarılmasının önemi vurgulanır. Hutbe, herkesin kendi zatına, nefsine ve yaratılmışlara karşı edeple yaşaması dileğiyle sona erer.",edeb; hayâ; nefis terbiyesi; vicdan; örnek olma; değerler eğitimi
05.07.2013,2013,RAMAZAN VE ORUÇ,"Ramazan, Oruç ve Bayramlar",,"Bu şiirsel üslupla yazılmış hutbe, Ramazan ayının gelişini bir sevgili gibi karşılayarak orucun takva kazandırma amacını anlatır. Ramazan'ın kalpleri arındırma, kötülüklerden uzaklaşma ve kardeşliği pekiştirme fırsatı olduğu vurgulanır. Hutbe, Ramazan ayının hayırla geçmesi ve bayrama ulaşılması duasıyla sona erer.",ramazan ayı; oruç; takva; arınma; mübarek üç aylar; manevi hazırlık
12.07.2013,2013,HELAL KAZANÇ HELAL LOKMA,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Sabır, Tevekkül ve Manevi Olgunluk","Bu şiirsel üslupla yazılmış hutbe, helal kazancın ve helal lokmanın önemini, haram rızkın aile huzurunu ve bereketi yok ettiğini anlatır. İnsanların kazançlarını sorgulaması, haram şüphesi taşıyan işlerden kaçınması gerektiği vurgulanır. Hutbe, Diyanet'in bu yıl Ramazan temasının 'Helal Kazanç-Helal Lokma' olması nedeniyle helal rızık arayışının teşvik edilmesiyle sona erer.",helal kazanç; helal lokma; haram rızık; bereket; aile huzuru; alın teri
19.07.2013,2013,"HELAL KAZANÇ, HELAL LOKMA","Ekonomik Hayat: Kazanç, Zekat ve İsraf",,"Bu hutbe, tüketim toplumunun insanları maddi açıdan yükseltirken manevi açıdan tükettiğini ve gerçek zenginliğin gönül tokluğunda olduğunu anlatır. Ramazan ayının kazancı ve tüketimi helal sınırlar içinde tutma bilinci kazandırdığı, müminin ticarette hile yapmaması, rüşveti ve faizi reddetmesi gerektiği vurgulanır. Hutbe, helal rızık için yapılan dua ile tamamlanır.",helal kazanç; helal lokma; tüketim toplumu; kanaat; hile ve rüşvet; israf
26.07.2013,2013,TEKBİR: ALLÂHU EKBER,"İman, Tevhid ve Ahiret","İbadet ve Kulluk; Ahlak, Erdem ve Söz","Bu hutbe, tekbirin Allah'ı yüceltme ve tevhidin en özlü ifadesi olduğunu, doğumdan ölüme kadar müminin hayatının her anına eşlik ettiğini anlatır. Tekbirin bugün bazı yerlerde katliam ve şiddet sırasında dillendirilmesinin büyük bir hüsran olduğu, Allah'ın büyüklüğünün küçük emellere alet edilmemesi gerektiği vurgulanır. Hutbe, İslam aleminin fitne ve tefrikadan kurtulması için yapılan uzun bir dua ile sona erer.",tekbir; allahu ekber; tevhid; şiddet istismarı; islam aleminde fitne; itikaf
02.08.2013,2013,RAMAZANA VEDA VE KADİR GECESİ,"Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar","Ramazan'a veda edilirken verilen bu hutbe, Kadir Gecesi'nin Kur'an'ın indirilmeye başladığı, bin aydan daha hayırlı olan mübarek bir gece olduğunu anlatır. Ramazan boyunca kazanılan takva, sabır ve paylaşma bilincinin yıl boyunca sürdürülmesi gerektiği vurgulanır. Hutbe, İslam coğrafyasındaki zulüm ve şiddetin durması, kardeşlerin bayrama huzur içinde ulaşması duasıyla sona erer.",kadir gecesi; ramazana veda; mağfiret; islam coğrafyasında zulüm; kur'an'ın inişi; bin aydan hayırlı gece
08.08.2013,2013,RAMAZAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler; Vatan, Millet ve Tarih","Bu uzun hutbe metni, Ramazan Bayramı'nın kardeşliği pekiştiren ilahi bir armağan olduğunu anlatırken, aynı zamanda dönemin gündemindeki zulüm ve adaletsizlik konularını da ele alır. Bayramın, zulme uğrayanların yanında olanların, paylaşanların ve mazlumun sesine kulak verenlerin bayramı olduğu vurgulanır; ayrıca Mısır'daki katliamlar ve masumların öldürülmesi büyük bir insanlık suçu olarak kınanır. Hutbe, zalimlerin asla kurtuluşa eremeyeceği ve mazlumun yanında durmanın müminlik gereği olduğu vurgusuyla, barış ve adalet duasıyla tamamlanır.",ramazan bayramı; zulüm; mısır katliamı; mazlumun hakkı; insanın katli; zaferler ve fetih
27.09.2013,2013,"DAVET HEPİMİZE, HEP BİRLİKTE CAMİYE!",İbadet ve Kulluk,,"Bu hutbe, kadınların İslam tarihinde mabetlerle olan güçlü bağını Hz. Hacer ve Hz. Meryem örnekleriyle anlatır. Saadet asrında kadınların camilerde ibadete, ilim halkalarına ve Cuma namazlarına katıldığı, ancak zamanla bu bağın zayıfladığı vurgulanır. Hutbe, Camiler ve Din Görevlileri Haftası'nın temasının 'Cami, Kadın ve Aile' olması nedeniyle kadınların camilere yeniden kazandırılması çağrısıyla sona erer.",kadın ve cami; hz. hacer; hz. meryem; camiler haftası; aile ibadeti; kadının dini hayatı
04.10.2013,2013,KURBANLARIMIZLA PEKİŞSİN KARDEŞLİĞİMİZ,"Ramazan, Oruç ve Bayramlar",Peygamberimiz ve Ashab,"Kurban Bayramı öncesinde verilen bu hutbe, kurbanın Habil ile Kabil kıssasından Hz. İbrahim'in sınanmasına uzanan tarihini ve takva temelli anlamını anlatır. Kurbanın bencilliğe karşı bir uyarı olduğu, paylaşma ve kardeşliği pekiştiren bir ibadet olduğu vurgulanır. Hutbe, Diyanet'in vekaletle kurban kesim organizasyonuna katılım çağrısıyla sona erer.",kurban bayramı; hz. i̇brahim; habil ve kabil; takva; vekaletle kurban kesimi; paylaşma
15.10.2013,2013,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar",,"Kurban Bayramı günü verilen bu hutbe, kurbanın bir teslimiyet testi ve iman sınavı olduğunu, hac ibadetiyle eş zamanlı yaşanan manevi coşkuyu anlatır. Bayramların kardeşlik ve neşe mevsimleri olduğu, önce geçmişlerin sonra yaşayan yoksul ve kimsesizlerin sevindirilmesi gerektiği vurgulanır. Hutbe, Suriyeli mülteciler ve dünyanın çeşitli bölgelerindeki muhtaç Müslümanlara yardım çağrısıyla sona erer.",kurban bayramı; hac; teslimiyet; bayramlaşma; suriyeli mülteciler; kardeşlik
01.11.2013,2013,RAHMET’İN HİCRETİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler","Bu hutbe, Hz. Peygamber'in Mekke'den Medine'ye hicretinin bir kaçış değil, ilahi mesaja gönül verenlerle buluşma olduğunu anlatır. Hicretin Muhacir ve Ensar arasındaki fedakârlık, kardeşlik ve dayanışmanın destansı bir örneği olduğu vurgulanır. Hutbe, hicri yılbaşı vesilesiyle herkesin haram ve günahlardan uzaklaşarak kendi hicretini gerçekleştirmesi çağrısıyla sona erer.",hicret; hicri yılbaşı; ensar ve muhacir; fedakârlık; medine; kardeşlik
08.11.2013,2013,MUHARREM AYI VE KERBELÂ,"Kandiller, Muharrem ve Mübarek Geceler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Muharrem ayı vesilesiyle verilen bu hutbe, Kerbela'da Hz. Hüseyin'in zulme karşı onurlu duruşunu ve bu olayın ümmetin ortak hüznü olduğunu anlatır. Kerbela'nın doğru anlaşılmasının ayrılık değil birlik ve kardeşlik bilinci oluşturması gerektiği, günümüzdeki İslam coğrafyasındaki çatışmaların yeni birer 'Kerbela' olduğu vurgulanır. Hutbe, Hz. Hüseyin'in duası hatırlatılarak şehitlerin rahmetle anılmasıyla sona erer.",kerbela; hz. hüseyin; muharrem ayı; zulüm; ümmet birliği; islam coğrafyasında çatışma
13.12.2013,2013,DÜNYADA YOLCU OLABİLMEK!,"İman, Tevhid ve Ahiret",,"Bu hutbe, dünya hayatının geçici, ahiret hayatının ise ebedi olduğunu ve insanın bu dünyada bir yolcu gibi yaşaması gerektiğini anlatır. Peygamberin müminleri bal arısı, hurma ağacı, altın ve yeşil ekin gibi benzetmelerle tarif ettiği erdemli mümin tipi vurgulanır. Hutbe, dünya hayatını ahirete hazırlık olarak değerlendirenlerin mutluluğuna işaret eden bir dua ile sona erer.",dünya hayatı; ahiret; yolculuk metaforu; mümin sıfatları; geçicilik; hazırlık bilinci
27.12.2013,2013,ÖMÜR SERMAYESİ TÜKENİRKEN…,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,"Yıl sonunda verilen bu hutbe, geçen bir senenin muhasebesini yapma ve gelecek için hedef koyma çağrısı yapar. İnsanın ibadetlerini, ailevi görevlerini ve kardeşlik hukukunu yeterince yerine getirip getiremediğini sorgulaması gerektiği, dünyada yaşanan zulüm ve adaletsizliklerin önlenemediği vurgulanır. Hutbe, yeni yılda daha yaşanılabilir bir dünya kurma niyetiyle yapılan dualarla sona erer.",yıl sonu muhasebesi; ömür sermayesi; zulüm ve adaletsizlik; kardeşlik hukuku; hedef belirleme; vicdan sorgulaması
