ayet,toplam,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",İbadet ve Kulluk,"Aile, Çocuk ve Nesil","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","Ramazan, Oruç ve Bayramlar","Vatan, Millet ve Tarih","Sabır, Tevekkül ve Manevi Olgunluk","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Kandiller, Muharrem ve Mübarek Geceler",Peygamberimiz ve Ashab,İslam Coğrafyası ve Küresel Meseleler,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Afet, Kriz ve Sağlık",Kur'an-ı Kerim
Kıyamet 36,4,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
Tevbe 111,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
Hucurat 12,4,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
Zilzal 7,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Hud 112,4,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0
Kaf 18,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
Al-i İmran 104,4,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0
Al-i İmran 164,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Bakara 168,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Tevbe 71,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Tevbe 20,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Kalem 4,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
Furkan 77,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Bakara 201,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Haşr 18,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Kevser 1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Maide 8,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Bakara 128,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Mü'min 60,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Bakara 276,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Mutaffifin 1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Al-i İmran 173,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Bakara 205,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
Hac 77,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Sebe 39,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Kehf 13,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Kehf 30,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Bakara 110,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Tekasür 8,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Al-i İmran 169,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Furkan 74,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Enbiya 107,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Mü'minun 1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Al-i İmran 134,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
İnşirah 1,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Ahzab 45,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Hucurat 6,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
İsra 81,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Al-i İmran 161,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yasin 65,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Hud 42,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Enfal 60,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Tevbe 36,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Müddessir 1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Tevbe 128,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Duha 7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kasas 77,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
A'raf 199,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
İnşirah 7,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Hac 27,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mümtehine 4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Meryem 59,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Bakara 275,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Rum 21,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Saffat 102,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Zuhruf 32,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bakara 274,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Felak 1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bakara 222,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Bakara 257,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Nisa 86,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nisa 124,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
İsra 9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Maide 28,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaf 16,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Meryem 96,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Nisa 41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Enfal 28,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Enfal 25,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ala 14,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Al-i İmran 133,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
İbrahim 7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Hucurat 11,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Al-i İmran 185,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Nur 31,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Bakara 197,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
İsra 53,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Al-i İmran 200,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Kamer 45,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
İsra 19,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Nisa 7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duha 9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mü'minun 8,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
İnfitar 6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Lokman 17,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Al-i İmran 54,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Zariyat 55,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Hud 113,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Rahman 9,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Al-i İmran 12,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Lokman 18,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Nur 19,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Mutaffifin 14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nahl 59,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kadir 1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Maide 27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
İsra 80,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
En'am 82,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yusuf 101,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bakara 114,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kehf 45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Maide 48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haşr 9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meryem 31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahzab 33,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Taha 114,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bakara 134,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bakara 126,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nisa 48,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tekvir 26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Haşr 19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cuma 9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Necm 32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bakara 44,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nasr 3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Beyyine 7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A'raf 31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Muhammed 7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maide 6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Müddessir 4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Şems 7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bakara 208,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakara 185,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zümer 3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alak 15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hac 38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A'raf 96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hicr 46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zümer 73,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bakara 165,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kehf 104,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bakara 151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nahl 66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bakara 285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nahl 128,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
İnşirah 8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bakara 256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kasas 24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bakara 250,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kehf 107,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bakara 129,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ra'd 29,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bakara 179,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hicr 49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hicr 50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakara 267,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nahl 80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mülk 30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nebe 10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fetih 10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
İnsan 8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furkan 63,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mü'minun 112,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
İsra 26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
En'am 141,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
En'am 54,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mü'minun 51,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kasas 17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saffat 100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yunus 57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yunus 26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duha 6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Buruc 14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Furkan 72,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A'raf 151,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Enbiya 86,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A'raf 33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Taha 25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ahzab 72,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Maun 4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lokman 12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Al-i İmran 195,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Al-i İmran 130,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hadid 18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bakara 272,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ankebut 57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Furkan 70,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tahrim 8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nisa 17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beled 12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
En'am 35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hud 23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mü'minun 5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rum 54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A'raf 56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Şura 30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bakara 278,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Casiye 13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Enbiya 16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rahman 29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ala 16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ankebut 64,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nisa 58,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Maide 1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Enbiya 30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mü'minun 18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fatiha 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Al-i İmran 191,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
En'am 38,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rum 47,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Şuara 3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hakka 19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
En'am 160,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A'raf 26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Enbiya 1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kıyamet 13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A'raf 55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A'raf 156,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Enfal 74,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
En'am 164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A'raf 179,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enbiya 47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nur 24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mü'minun 97,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakara 82,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Şura 37,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Enfal 67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nur 55,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nur 21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lokman 16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Şura 39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Müzzemmil 20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yasin 61,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yasin 3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yasin 78,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yasin 55,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yasin 58,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yasin 63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nur 32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
İsra 27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maide 54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Buruc 12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A'raf 27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hac 40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ahkaf 15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mü'minun 9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zariyat 19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Necm 3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
En'am 10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bakara 196,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maide 105,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Enfal 72,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hud 114,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nisa 163,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Maide 3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Şuara 78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alak 19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nisa 78,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Abese 33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Maide 87,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Al-i İmran 103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Enfal 46,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hud 61,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nahl 90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tevbe 18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ahzab 21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tahrim 66,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
