sira,tarih,yil,baslik,ana_kategori,ikincil_kategoriler
67,01.12.2017,2017,GÜNEŞİN DOĞDUĞU EN HAYIRLI GÜN: CUMA,İbadet ve Kulluk,
68,22.12.2017,2017,HELAL HARAM DUYARLILIĞI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",
69,29.12.2017,2017,EŞSİZ SERMAYEMİZ: ÖMÜR,"Sabır, Tevekkül ve Manevi Olgunluk","Ekonomik Hayat: Kazanç, Zekat ve İsraf"
70,02.02.2018,2018,İSLAM’IN İKİ ANA KAYNAĞI: KUR’AN VE SÜNNET,Kur'an-ı Kerim,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Peygamberimiz ve Ashab"
71,16.03.2018,2018,MİLLETİMİZİN VAROLUŞ MÜCADELESİ: ÇANAKKALE ZAFERİ,"Vatan, Millet ve Tarih",
72,06.04.2018,2018,İYİLİK: PAYLAŞILDIKÇA ARTAN DEĞER,"Ahlak, Erdem ve Söz",
73,11.05.2018,2018,ADALET VE İHSAN YUVASI: AİLE,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil"
74,25.05.2018,2018,ORUÇ VE KUR’ÂN AYI RAMAZAN,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Sabır, Tevekkül ve Manevi Olgunluk"
75,08.06.2018,2018,"AFİYET OLSUN, İSRAF OLMASIN","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Sabır, Tevekkül ve Manevi Olgunluk; Kandiller, Muharrem ve Mübarek Geceler"
76,29.06.2018,2018,EVLADIN ANNE-BABA ÜZERİNDEKİ HAKLARINDAN BİRİ: GÜZEL İSİM,"Aile, Çocuk ve Nesil","Ahlak, Erdem ve Söz; Vatan, Millet ve Tarih"
77,21.08.2018,2018,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar",
78,07.09.2018,2018,HİCRET,Peygamberimiz ve Ashab,
79,14.09.2018,2018,MUHARREM AYI VE ÂŞÛRÂ GÜNÜ,"Kandiller, Muharrem ve Mübarek Geceler",
80,21.09.2018,2018,ALLAH’IN GÜZEL İSİMLERİNDEN MÜMİNLERE MESAJLAR,"İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz"
81,28.09.2018,2018,CAMİLER VE DİN HİZMETİNE ADANMIŞ ÖMÜRLER,İbadet ve Kulluk,Kur'an-ı Kerim
82,23.11.2018,2018,EN BÜYÜK ZENGİNLİĞİMİZ GENÇLERİMİZ,"Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Afet, Kriz ve Sağlık"
83,30.11.2018,2018,NEFİS: İYİ VE KÖTÜNÜN MÜCADELE ALANI,"Sabır, Tevekkül ve Manevi Olgunluk",
84,07.12.2018,2018,SELÂM: İSLÂM’IN GÜVEN VE BARIŞ ÇAĞRISI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",Peygamberimiz ve Ashab
85,28.12.2018,2018,BİR ÖMÜR SORUMLULUK BİLİNCİYLE YAŞAMAK,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk"
86,15.03.2019,2019,ÇANAKKALE ZAFERİ VE BİRLİK RUHU,"Vatan, Millet ve Tarih",
87,29.03.2019,2019,MİRAÇ GECESİ,İbadet ve Kulluk,"İslam Coğrafyası ve Küresel Meseleler; Kandiller, Muharrem ve Mübarek Geceler"
88,26.04.2019,2019,TİCARET HAYATININ BEREKETİ: İŞ AHLAKI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",
89,17.05.2019,2019,PEYGAMBERİMİZİN TARİFİYLE HAYIRLI MÜSLÜMAN,"Ahlak, Erdem ve Söz",
90,14.06.2019,2019,"CAMİLER ÇOCUK DOLSUN, AHLAKI KUR’AN OLSUN","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Kur'an-ı Kerim; Ahlak, Erdem ve Söz"
91,21.06.2019,2019,ALLAH’A İMAN,"İman, Tevhid ve Ahiret",
92,05.07.2019,2019,"NESLİN KORUNMASI: ERDEMLİ BİR NESİL, HUZURLU BİR GELECEK","Aile, Çocuk ve Nesil",
93,19.07.2019,2019,CUMA NAMAZI VE ADABI,İbadet ve Kulluk,
94,02.08.2019,2019,RABBİN İÇİN KURBAN KES,"Ramazan, Oruç ve Bayramlar",
95,09.08.2019,2019,MÜMİN: HUZURLU TOPLUMUN TEMİNATI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz"
96,04.10.2019,2019,DÜNYA EVİMİZ BİZE EMANETTİR,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim"
97,11.10.2019,2019,GÜN BİRLİK VE DAYANIŞMA GÜNÜDÜR,"Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
98,01.11.2019,2019,DÜNYEVİLEŞMEK: GEÇİCİ OLANA GÖNÜL VERMEK,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret; Eğitim, Teknoloji, Çevre ve Toplumsal Değişim"
99,29.11.2019,2019,DİNİN ÖZÜ SAMİMİYETTİR,"Ahlak, Erdem ve Söz",
100,10.01.2020,2020,PEYGAMBERİMİZİN DİLİNDEN DUALAR,"Sabır, Tevekkül ve Manevi Olgunluk",İbadet ve Kulluk
101,31.01.2020,2020,AFETLERE KARŞI BİLİNÇLİ OLALIM,"Afet, Kriz ve Sağlık","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
102,07.02.2020,2020,KUDÜS İSLAM YURDUDUR,İslam Coğrafyası ve Küresel Meseleler,"Afet, Kriz ve Sağlık"
103,03.04.2020,2020,BERAT GECESİ: AF VE ARINMA VESİLESİ,"Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk; İman, Tevhid ve Ahiret"
104,08.05.2020,2020,"RAMAZAN: İNFAK, YARDIMLAŞMA VE PAYLAŞMA AYI","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ekonomik Hayat: Kazanç, Zekat ve İsraf"
105,22.05.2020,2020,BİR ÖMRÜ RAMAZAN GİBİ YAŞAMAK,"İman, Tevhid ve Ahiret","İbadet ve Kulluk; Ramazan, Oruç ve Bayramlar"
106,29.05.2020,2020,HAMDOLSUN RABBİMİZE,İbadet ve Kulluk,"Afet, Kriz ve Sağlık"
107,26.06.2020,2020,YUVALARIMIZ KUR’AN İLE AYDINLANSIN,"Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Kur'an-ı Kerim"
108,10.07.2020,2020,15 TEMMUZ VE BİRLİK RUHU,"Vatan, Millet ve Tarih",
109,17.07.2020,2020,"KURBANINI PAYLAŞ, KARDEŞİNLE YAKINLAŞ","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
110,14.08.2020,2020,ŞÜKREDEN HUZUR BULUR,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret"
111,04.09.2020,2020,"İSLAM, TEMİZLİĞİ EMREDER","Afet, Kriz ve Sağlık","İman, Tevhid ve Ahiret"
112,25.09.2020,2020,CAMİ VE İLİM,İbadet ve Kulluk,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Peygamberimiz ve Ashab"
113,02.10.2020,2020,MURAKABE VE MUHASEBE BİLİNCİ,"Sabır, Tevekkül ve Manevi Olgunluk","Afet, Kriz ve Sağlık"
114,23.10.2020,2020,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler"
115,06.11.2020,2020,MÜMİN SORUMLULUK SAHİBİDİR,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk; İbadet ve Kulluk"
116,25.12.2020,2020,İÇKİ: KÖTÜLÜĞÜN ZEHİRLİ ARKADAŞI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Vatan, Millet ve Tarih; Afet, Kriz ve Sağlık"
117,08.01.2021,2021,FÂTİHA SÛRESİ: KUR’AN’IN MUKADDİMESİ,İbadet ve Kulluk,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Kur'an-ı Kerim"
118,15.01.2021,2021,MİRAS: HER HAK SAHİBİNE HAKKINI VERMEK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil"
119,26.02.2021,2021,ZOR ZAMANLARDA MANEVİYATIMIZDAN DESTEK ALMAK,"Sabır, Tevekkül ve Manevi Olgunluk",İbadet ve Kulluk
120,12.03.2021,2021,İSTİKLÂL MARŞI: HAKKIDIR HAKKA TAPAN MİLLETİMİN İSTİKLÂL!,"Vatan, Millet ve Tarih",
121,09.04.2021,2021,RAMAZAN: KUTLU MİSAFİR,"Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret; Afet, Kriz ve Sağlık"
122,13.05.2021,2021,KUDÜS’ÜN ÖZGÜR OLDUĞU BAYRAMLARA,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar; İslam Coğrafyası ve Küresel Meseleler"
123,18.06.2021,2021,MÜSLÜMAN ŞAHSİYETİ,"Ahlak, Erdem ve Söz","Vatan, Millet ve Tarih; Eğitim, Teknoloji, Çevre ve Toplumsal Değişim"
124,25.06.2021,2021,KUR’AN’IN MANEVÎ İKLİMİYLE BULUŞALIM,Kur'an-ı Kerim,"Sabır, Tevekkül ve Manevi Olgunluk"
125,02.07.2021,2021,DÜĞÜNLERİMİZDE NEBEVÎ ÖLÇÜYE RİAYET EDELİM,"Aile, Çocuk ve Nesil",
126,20.07.2021,2021,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar",
127,06.08.2021,2021,ZORLUKLAR BİRLİKTE AŞILIR,"Afet, Kriz ve Sağlık","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Sabır, Tevekkül ve Manevi Olgunluk"
128,17.09.2021,2021,TİCARET HAYATINDA HELAL HARAM BİLİNCİ,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",
129,24.09.2021,2021,TAKVA: RABBİMİZİN RIZASINI DİRİ TUTMA BİLİNCİ,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk"
130,01.10.2021,2021,MÜMİN CAMİYE VEFALIDIR,İbadet ve Kulluk,
131,12.11.2021,2021,İBADET: ALLAH İLE KUL ARASINDAKİ KUTLU BAĞ,"İman, Tevhid ve Ahiret",İbadet ve Kulluk
132,03.12.2021,2021,ENGELLERİ HEP BİRLİKTE VE SEVGİYLE AŞALIM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",
133,14.01.2022,2022,KELİME-İ ŞEHÂDET: İMANIN ÖZÜ,"İman, Tevhid ve Ahiret",Peygamberimiz ve Ashab
134,11.02.2022,2022,İSLAM’I TEMSİL SORUMLULUĞUMUZ,"Ahlak, Erdem ve Söz",
135,18.03.2022,2022,ÇANAKKALE ZAFERİ: BİR MİLLETİN YENİDEN DİRİLİŞİ,"Vatan, Millet ve Tarih",
136,25.03.2022,2022,"AİLEMİZ: SEVGİ, RAHMET VE GÜVEN İKLİMİMİZ","Aile, Çocuk ve Nesil",
137,22.04.2022,2022,LEYLETÜ’L-KADR: İLAHİ LÜTUF VE İKRAM GECESİ,"Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk; Ramazan, Oruç ve Bayramlar"
138,02.05.2022,2022,"BAYRAMIMIZ KUTLU, GÖNLÜMÜZ İMAN VE NEŞE DOLU OLSUN","Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret; Toplumsal Dayanışma, Merhamet ve Kardeşlik"
139,13.05.2022,2022,İŞ VE ÇALIŞMA AHLAKI,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",
140,03.06.2022,2022,ÇEVREYE VEFA MÜMİNİN ŞİARIDIR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",
141,17.06.2022,2022,"HAYDİ KOŞ GEL, CAMİLER SENİNLE GÜZEL","Aile, Çocuk ve Nesil",
142,01.07.2022,2022,AHİRET GÜNÜ VE HESAP VERME BİLİNCİ,"İman, Tevhid ve Ahiret",
143,08.07.2022,2022,HAC: İLÂHİ DAVET,İbadet ve Kulluk,"Ramazan, Oruç ve Bayramlar"
144,29.07.2022,2022,HİCRETİMİZ RABBİMİZE OLSUN,Peygamberimiz ve Ashab,
145,12.08.2022,2022,"İMAN, SALİH AMEL VE GÜZEL AHLAKLA KEMALE ERER","Sabır, Tevekkül ve Manevi Olgunluk","Ahlak, Erdem ve Söz"
146,26.08.2022,2022,ZAFERLERİMİZİN ARDINDAKİ RUH VE MANA,"Vatan, Millet ve Tarih",
147,25.11.2022,2022,MERHAMET TOPLUMU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",
148,09.12.2022,2022,HAYDİ NAMAZA! HAYDİ KURTULUŞA!,İbadet ve Kulluk,
149,16.12.2022,2022,ÇOCUK: RABBİMİZİN KIYMETLİ EMANETİ,"Aile, Çocuk ve Nesil",
150,13.01.2023,2023,EN GÜZEL İSİMLER ALLAH’A AİTTİR,"İman, Tevhid ve Ahiret","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; İbadet ve Kulluk"
151,20.01.2023,2023,ALLAH’IM! ÜÇ AYLARI BİZE BEREKETLİ KIL,"Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk; Kandiller, Muharrem ve Mübarek Geceler"
152,03.02.2023,2023,İMANIN GEREĞİ: SALİH AMEL VE GÜZEL AHLAK,"Ahlak, Erdem ve Söz","İbadet ve Kulluk; İman, Tevhid ve Ahiret"
153,17.02.2023,2023,MİRAÇ GECEMİZ: İLÂHÎ RAHMET VE SEKÎNET VESİLEMİZ,"Afet, Kriz ve Sağlık","Kandiller, Muharrem ve Mübarek Geceler; Toplumsal Dayanışma, Merhamet ve Kardeşlik"
154,24.02.2023,2023,"KARDEŞLİK, DAYANIŞMA VE DUA VAKTİ","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Afet, Kriz ve Sağlık"
155,21.04.2023,2023,HAYATI RAMAZAN BİLİNCİYLE YAŞAMAK,"Ramazan, Oruç ve Bayramlar",
156,26.05.2023,2023,BİRLİK VE BERABERLİK RUHU,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Vatan, Millet ve Tarih"
157,02.06.2023,2023,KALPLER ALLAH’I ZİKRETMEKLE HUZURA KAVUŞUR,İbadet ve Kulluk,"İman, Tevhid ve Ahiret; Sabır, Tevekkül ve Manevi Olgunluk"
158,09.06.2023,2023,RABBİMİZ ÇEVRE İLE BİZLERE NE ÖĞRETİR?,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",
159,23.06.2023,2023,BABA: CENNETE AÇILAN KAPI,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
160,14.07.2023,2023,"DİN SAMİMİYETTİR, İSTİSMAR İHANETTİR","Ahlak, Erdem ve Söz","Vatan, Millet ve Tarih; Kandiller, Muharrem ve Mübarek Geceler"
161,21.07.2023,2023,HİCRET: İDEALLER UĞRUNA ÇIKILAN KUTLU BİR SEFER,Peygamberimiz ve Ashab,"Sabır, Tevekkül ve Manevi Olgunluk; Afet, Kriz ve Sağlık"
162,15.09.2023,2023,AHÎLİK: DÜRÜSTLÜK VE MERHAMETİ TİCARETE HÂKİM KILMAK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",
163,20.10.2023,2023,RAHMET VE SEKİNET MÜJDESİ: İNŞİRÂH SURESİ,İslam Coğrafyası ve Küresel Meseleler,
164,17.11.2023,2023,"İMAN, İBADET VE AHLAK BÜTÜNLÜĞÜ","Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret; İbadet ve Kulluk"
165,24.11.2023,2023,"İSLAM, ŞEFKAT VE MERHAMETİ EMREDER","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İslam Coğrafyası ve Küresel Meseleler; Aile, Çocuk ve Nesil"
166,05.01.2024,2024,RAHMET VE MAĞFİRET İKLİMİ: ÜÇ AYLAR,"Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret"
167,12.01.2024,2024,ALLAH’IN RAHMET VE İNAYETİNE SIĞINMANIN ADI: EÛZÜ-BESMELE,İbadet ve Kulluk,"Kandiller, Muharrem ve Mübarek Geceler; Vatan, Millet ve Tarih"
168,19.01.2024,2024,"BİZİ GÜÇLÜ KILAN, BİRLİK VE BERABERLİĞİMİZDİR","Vatan, Millet ve Tarih","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik"
169,02.02.2024,2024,"RABBİMİZ, MÜMİNLERİ YALNIZ VE YARDIMSIZ BIRAKMAZ",İslam Coğrafyası ve Küresel Meseleler,"Afet, Kriz ve Sağlık; Kandiller, Muharrem ve Mübarek Geceler"
170,08.03.2024,2024,RAMAZAN GELİYOR! HAZIR MIYIZ?,"Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler; Ekonomik Hayat: Kazanç, Zekat ve İsraf"
171,15.03.2024,2024,"ORUÇ, BEDENİMİZE SIHHAT, GÖNLÜMÜZE SEKİNET VERİR",İslam Coğrafyası ve Küresel Meseleler,"Ramazan, Oruç ve Bayramlar; Vatan, Millet ve Tarih"
172,22.03.2024,2024,RAMAZAN VE AHİRET BİLİNCİ,"İman, Tevhid ve Ahiret",
173,10.04.2024,2024,"RAMAZAN BAYRAMI: BİRLİK, BERABERLİK VE KARDEŞLİK GÜNLERİ","Aile, Çocuk ve Nesil","Ahlak, Erdem ve Söz; Ramazan, Oruç ve Bayramlar"
