"tarih","baslik","ana_kategori","ikincil_kategoriler","cerceve","ton","muhatap","eylem_cagrisi"
"22.04.2016","TEVHİD VE VAHDETİN ÖNCÜSÜ MÜMİNLER","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","uyarı; teşvik","ümmet","ahlaki"
"29.04.2016","MİRAÇ KANDİLİ","Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ritüel"
"06.05.2016","O BÜYÜK GÜNE HAZIR MIYIZ?","İman, Tevhid ve Ahiret","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik; uyarı","genel","ahlaki"
"13.05.2016","HUZUR VE MUHABBET OCAĞI: AİLEMİZ","Aile, Çocuk ve Nesil","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","aile","teşvik; uyarı","aileler","ahlaki"
"20.05.2016","MAHREMİYETİ YİTİRMEK MAHRUMİYETTİR","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz","aile","uyarı; teşvik","aileler","ahlaki"
"27.05.2016","NAMAZ ARINMADIR","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"03.06.2016","GELİN GÖNÜLLER YAPALIM","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ahlaki"
"10.06.2016","KUR’AN AYI RAMAZAN","Kur'an-ı Kerim","Ramazan, Oruç ve Bayramlar","birey","teşvik; bilgilendirme","genel","ritüel"
"17.06.2016","KUR’ÂN, RAMAZAN VE ÇOCUK","Aile, Çocuk ve Nesil","Kur'an-ı Kerim","aile","teşvik","aileler","katılım; ahlaki"
"24.06.2016","ARINMA VESİLESİ: ZEKÂT VE İNFAK","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","maddi"
"01.07.2016","KADRİMİZİ YÜCELTEN GECE: KADİR GECESİ","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik; teselli","genel","ritüel"
"05.07.2016","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ahlaki"
"08.07.2016","RABBİMİZE YAKINLAŞMA VESİLESİ: SILA-İ RAHİM","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil","birey","teşvik; bilgilendirme","genel","ahlaki"
"15.07.2016","HAYATIMIZI İBADET KILABİLMEK","İbadet ve Kulluk","Ramazan, Oruç ve Bayramlar","birey","teşvik","genel","ritüel; ahlaki"
"22.07.2016","GÜN, MİLLETÇE KENETLENME VE GELECEĞİMİZİ İNŞA ETME GÜNÜDÜR","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; teselli","millet","ritüel"
"29.07.2016","EN BÜYÜK BOZGUNCULUK, DİNİN MUAZZEZ DEĞERLERİNİ İSTİSMAR ETMEKTİR.","Vatan, Millet ve Tarih","Ahlak, Erdem ve Söz","cemaat-toplum","kınama; teşvik","millet","ahlaki"
"05.08.2016","KULLUK SADECE ALLAH’A ÖZGÜDÜR","İman, Tevhid ve Ahiret","İbadet ve Kulluk","birey","bilgilendirme; uyarı","genel","ahlaki"
"12.08.2016","SIRÂT-I MÜSTAKİM","İman, Tevhid ve Ahiret","","birey","bilgilendirme; uyarı","genel","ahlaki"
"19.08.2016","MÜMİN VE EMANET BİLİNCİ","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ahlaki"
"26.08.2016","HAYAT VEREN DİN: İSLÂM","Vatan, Millet ve Tarih","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","kınama; uyarı","ümmet","ritüel"
"02.09.2016","KULLUK VE SAMİMİYET BEYANI: KURBAN","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; maddi"
"09.09.2016","BAYRAM VE HZ. İBRAHİM","Ramazan, Oruç ve Bayramlar","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel"
"12.09.2016","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; ahlaki"
"16.09.2016","EBEDİ BAYRAMLARA BİRLİKTE YOL ALABİLMEK","İbadet ve Kulluk","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; uyarı","genel","ahlaki"
"23.09.2016","ALLAH’IM! İLİMLE YÜCELT BİZİ!","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Aile, Çocuk ve Nesil","aile","teşvik; bilgilendirme","aileler","ahlaki"
"30.09.2016","CAMİ VE KİTAP MEDENİYETİ","İbadet ve Kulluk","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"07.10.2016","YÜREKLERİMİZİ SAHRÂ-I KERBELÂ’YA DÖNÜŞTÜRMEYELİM","Kandiller, Muharrem ve Mübarek Geceler","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teselli; kınama","ümmet","ritüel"
"14.10.2016","HAYATA EMEKLE DOKUNMAK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ekonomik Hayat: Kazanç, Zekat ve İsraf","birey","teşvik; bilgilendirme","genel","ahlaki"
"21.10.2016","ALLAH’A VERDİĞİ SÖZE SADIK KİMSE: MÜMİN","Peygamberimiz ve Ashab","","birey","bilgilendirme; teşvik","genel","ahlaki"
"28.10.2016","DÎN-İ MÜBÎN-İ İSLAM","İman, Tevhid ve Ahiret","","birey","uyarı; bilgilendirme","genel","ahlaki"
"04.11.2016","ÖRNEK ÜMMET OLABİLMEK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","ümmet","ahlaki"
"11.11.2016","KELİME-İ ŞEHÂDET","İman, Tevhid ve Ahiret","","birey","bilgilendirme; teşvik","genel","ahlaki"
"18.11.2016","ÜMMÜ’L-KİTAP: FATİHA","İbadet ve Kulluk","","birey","bilgilendirme; teşvik","genel","ritüel"
"25.11.2016","HAYATIN GAYESİ","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"02.12.2016","YERYÜZÜNÜN KÜÇÜK VE ONURLU HALİFESİ: ÇOCUK","Aile, Çocuk ve Nesil","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teselli; teşvik","genel","ahlaki"
"09.12.2016","HALEP’TE İNSANLIK ÖLMESİN!","İslam Coğrafyası ve Küresel Meseleler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","kınama; teselli","ümmet","maddi"
"16.12.2016","HER ZORLUKLA BERABER BİR KOLAYLIK VARDIR.","Vatan, Millet ve Tarih","Sabır, Tevekkül ve Manevi Olgunluk","cemaat-toplum","teselli; teşvik","millet","ahlaki"
"23.12.2016","ALLAH’IN YARDIMI MÜMİNLERLE BERABERDİR.","Vatan, Millet ve Tarih","Sabır, Tevekkül ve Manevi Olgunluk","cemaat-toplum","teşvik; teselli","millet","ahlaki"
"30.12.2016","ÖMÜR NİMETİ","Sabır, Tevekkül ve Manevi Olgunluk","İbadet ve Kulluk","birey","teşvik; uyarı","genel","ahlaki"
