"tarih","baslik","ana_kategori","ikincil_kategoriler","cerceve","ton","muhatap","eylem_cagrisi"
"12.04.2019","İMANIN HAYATIMIZDAKİ YANSIMALARI","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"19.04.2019","BERÂT GECESİ","Kandiller, Muharrem ve Mübarek Geceler","","birey","teşvik; teselli","genel","ritüel"
"26.04.2019","TİCARET HAYATININ BEREKETİ: İŞ AHLAKI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","bilgilendirme; teşvik","esnaf-işveren","ahlaki"
"03.05.2019","HOŞ GELDİN YA ŞEHR-İ RAMAZAN","Ramazan, Oruç ve Bayramlar","İbadet ve Kulluk","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel"
"10.05.2019","RAMAZAN VE İNFAK","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; bilgilendirme","genel","maddi"
"17.05.2019","PEYGAMBERİMİZİN TARİFİYLE HAYIRLI MÜSLÜMAN","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"24.05.2019","KARDEŞLİĞİMİZ ZEKÂT VE FITIR SADAKASIYLA BEREKETLENSİN","Ramazan, Oruç ve Bayramlar","Ekonomik Hayat: Kazanç, Zekat ve İsraf","cemaat-toplum","teşvik; bilgilendirme","genel","maddi"
"31.05.2019","KADİR GECESİ: KUR'ÂN İLE ŞEREFLENEN GECE","Kandiller, Muharrem ve Mübarek Geceler","Kur'an-ı Kerim","birey","teşvik; bilgilendirme","genel","ritüel; ahlaki"
"04.06.2019","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ritüel; ahlaki"
"07.06.2019","AİLE OLMAK, AİLE KALMAK","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","aile","teşvik; bilgilendirme","aileler","ahlaki"
"14.06.2019","CAMİLER ÇOCUK DOLSUN, AHLAKI KUR'AN OLSUN","Aile, Çocuk ve Nesil","Kur'an-ı Kerim","aile","teşvik; bilgilendirme","aileler","katılım"
"21.06.2019","ALLAH'A İMAN","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"28.06.2019","BİR MUKADDES YOLCULUK: HAC","İbadet ve Kulluk","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ritüel"
"05.07.2019","NESLİN KORUNMASI: ERDEMLİ BİR NESİL, HUZURLU BİR GELECEK","Aile, Çocuk ve Nesil","","cemaat-toplum","uyarı; kınama","aileler","ahlaki"
"12.07.2019","15 TEMMUZ'U ANMAK, İHANETİ ANLAMAK","Vatan, Millet ve Tarih","","cemaat-toplum","kınama; teşvik","millet","ahlaki"
"19.07.2019","CUMA NAMAZI VE ADABI","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"26.07.2019","BEDEN MAHREMİYETİ VE TESETTÜR","Ahlak, Erdem ve Söz","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","birey","bilgilendirme; teşvik","genel","ahlaki"
"02.08.2019","RABBİN İÇİN KURBAN KES","Ramazan, Oruç ve Bayramlar","","birey","teşvik; bilgilendirme","genel","ritüel; maddi"
"09.08.2019","MÜMİN: HUZURLU TOPLUMUN TEMİNATI","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","cemaat-toplum","bilgilendirme; teşvik","genel","ahlaki"
"11.08.2019","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","","cemaat-toplum","teşvik; teselli","ümmet","ritüel; ahlaki"
"16.08.2019","GÜVENLİ BİR HAYAT İÇİN AFETLERE HAZIR OLALIM","Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk","cemaat-toplum","uyarı; teşvik","genel","ahlaki"
"23.08.2019","FAİZİN TOPLUMSAL ZARARLARI","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","uyarı; bilgilendirme","genel","maddi"
"30.08.2019","VATAN BİZE EMANETTİR","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"06.09.2019","MUHARREM AYI VE ÂŞÛRÂ GÜNÜ","Kandiller, Muharrem ve Mübarek Geceler","","cemaat-toplum","teselli; teşvik","ümmet","ritüel"
"13.09.2019","HER CAN DOKUNULMAZDIR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","cemaat-toplum","kınama; uyarı","genel","ahlaki"
"20.09.2019","TEVAZU İNSANI YÜCELTİR","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"27.09.2019","CAMİ VE HAYAT","İbadet ve Kulluk","","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel"
"04.10.2019","DÜNYA EVİMİZ BİZE EMANETTİR","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ekonomik Hayat: Kazanç, Zekat ve İsraf","cemaat-toplum","uyarı; teşvik","genel","ahlaki; katılım"
"11.10.2019","GÜN BİRLİK VE DAYANIŞMA GÜNÜDÜR","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; kınama","millet","ahlaki"
"18.10.2019","KUL VE KAMU HAKKI","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","bilgilendirme; uyarı","genel","ahlaki"
"25.10.2019","DUALARIMIZ MEHMETÇİĞİMİZ İÇİN","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; teselli","millet","ritüel"
"01.11.2019","DÜNYEVİLEŞMEK: GEÇİCİ OLANA GÖNÜL VERMEK","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","birey","uyarı; teşvik","genel","ahlaki"
"08.11.2019","MEVLİD-İ NEBİ","Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"15.11.2019","PEYGAMBERİMİZ VE AİLE","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab","aile","teşvik; bilgilendirme","aileler","ahlaki"
"22.11.2019","MUSİBETLER KARŞISINDA MÜMİNİN TAVRI","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; uyarı","genel","ahlaki"
"29.11.2019","DİNİN ÖZÜ SAMİMİYETTİR","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"06.12.2019","BATIL İNANÇ VE HURAFELER","İman, Tevhid ve Ahiret","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","birey","uyarı; bilgilendirme","genel","ahlaki"
"13.12.2019","NAMAZ: RABBİMİZE YAKIN OLMA ÇABAMIZ","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"20.12.2019","TAKVA: EN HAYIRLI AZIĞIMIZ","Ahlak, Erdem ve Söz","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"27.12.2019","TEFEKKÜR İLE BİR ÖMÜR GEÇİRMEK","Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret","birey","uyarı; teşvik","genel","ahlaki"
