tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"22.05.2020","BİR ÖMRÜ RAMAZAN GİBİ YAŞAMAK","İbadet ve Kulluk","Ramazan, Oruç ve Bayramlar","birey","teşvik; teselli","genel","ahlaki"
"29.05.2020","HAMDOLSUN RABBİMİZE","İbadet ve Kulluk","Afet, Kriz ve Sağlık","cemaat-toplum","teşvik; teselli","genel","ritüel"
"05.06.2020","AHİRETE İNANAN MÜMİN","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"12.06.2020","MÜSTAKİM OL, EMİN OL HER TASADAN!","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"19.06.2020","HALİS NİYET VE SAMİMİYET","İbadet ve Kulluk","İman, Tevhid ve Ahiret","birey","bilgilendirme; teşvik","genel","ahlaki"
"26.06.2020","YUVALARIMIZ KUR'AN İLE AYDINLANSIN","Aile, Çocuk ve Nesil","Kur'an-ı Kerim","aile","teşvik; bilgilendirme","aileler","katılım"
"03.07.2020","SABRIN SONU SELAMETTİR","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"10.07.2020","15 TEMMUZ VE BİRLİK RUHU","Vatan, Millet ve Tarih","","cemaat-toplum","kınama; teşvik","millet","ahlaki"
"17.07.2020","KURBANINI PAYLAŞ, KARDEŞİNLE YAKINLAŞ","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ritüel; maddi"
"24.07.2020","AYASOFYA: FETHİN NİŞANESİ, FATİH'İN EMANETİ","Vatan, Millet ve Tarih","İbadet ve Kulluk","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"31.07.2020","KURBAN BAYRAMI: TAKVA YOLCULUĞU","Ramazan, Oruç ve Bayramlar","","cemaat-toplum","teşvik; teselli","ümmet","ritüel; ahlaki"
"07.08.2020","MÜMİNCE BİR DUYARLILIK: İYİLİĞİ EMRETMEK, KÖTÜLÜKTEN SAKINDIRMAK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk; Afet, Kriz ve Sağlık","cemaat-toplum","teşvik; uyarı","genel","ahlaki"
"14.08.2020","ŞÜKREDEN HUZUR BULUR","Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret","birey","teşvik; bilgilendirme","genel","ahlaki"
"21.08.2020","MÜMİN: HAKKIN TEMSİLCİSİ, HAKİKATİN DAVETÇİSİ","Sabır, Tevekkül ve Manevi Olgunluk","Kur'an-ı Kerim","birey","teşvik; bilgilendirme","genel","ahlaki"
"28.08.2020","ALLAH'IN DİNİNİ YÜCELTME GAYRETİ","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; teselli","millet","ritüel"
"04.09.2020","İSLAM, TEMİZLİĞİ EMREDER","Afet, Kriz ve Sağlık","İman, Tevhid ve Ahiret","birey","teşvik; uyarı","genel","ahlaki"
"11.09.2020","DİN İSTİSMARINA KARŞI FERASETLİ VE BASİRETLİ OLALIM","Kur'an-ı Kerim","Peygamberimiz ve Ashab","cemaat-toplum","uyarı; bilgilendirme","genel","ahlaki"
"18.09.2020","BEREKET: MANEVİ BOLLUK","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"25.09.2020","CAMİ VE İLİM","İbadet ve Kulluk","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel"
"02.10.2020","MURAKABE VE MUHASEBE BİLİNCİ","Sabır, Tevekkül ve Manevi Olgunluk","Afet, Kriz ve Sağlık","birey","teşvik; bilgilendirme","genel","ahlaki"
"09.10.2020","MÜMİNİN YUMUŞAK HUYLULUĞU","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz; Vatan, Millet ve Tarih","birey","teşvik; teselli","genel","ahlaki"
"16.10.2020","CAMİ: ALLAH'IN EVİ, MÜMİNLERİN ESERİ","İbadet ve Kulluk","","cemaat-toplum","teşvik; bilgilendirme","genel","maddi"
"23.10.2020","MEVLİD-İ NEBİ","Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"30.10.2020","PEYGAMBERİMİZ VE ÇOCUK","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab","aile","teşvik; bilgilendirme","aileler","ahlaki"
"06.11.2020","MÜMİN SORUMLULUK SAHİBİDİR","İman, Tevhid ve Ahiret","Afet, Kriz ve Sağlık","cemaat-toplum","teselli; teşvik","genel","ahlaki; katılım"
"13.11.2020","ABDEST: BEDENİMİZE SAĞLIK, RUHUMUZA HUZUR","İbadet ve Kulluk","Afet, Kriz ve Sağlık","birey","teşvik; bilgilendirme","genel","ritüel"
"20.11.2020","CENNET: MÜMİNLERİ BEKLEYEN SONSUZ NİMET","İman, Tevhid ve Ahiret","Afet, Kriz ve Sağlık","birey","teşvik; uyarı","genel","ahlaki"
"27.11.2020","FAYDASIZ İŞLERİ TERK ETMEK KULLUĞUN GÜZELLİĞİNDENDİR","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"04.12.2020","ENGELLİLİK: CENNETE KAVUŞTURAN İMTİHAN","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk","birey","teselli; teşvik","genel","ahlaki"
"11.12.2020","SU: HAYAT VE ŞİFA KAYNAĞIMIZ","Afet, Kriz ve Sağlık","İbadet ve Kulluk","cemaat-toplum","uyarı; teşvik","genel","ritüel"
"18.12.2020","MÜMİN HER İŞİNDE MUTEDİLDİR","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"25.12.2020","İÇKİ: KÖTÜLÜĞÜN ZEHİRLİ ARKADAŞI","Afet, Kriz ve Sağlık","Ahlak, Erdem ve Söz","birey","uyarı; teşvik","genel","ahlaki"
"31.07.2020","VEDA HUTBESİ: ÇAĞLARI AŞAN NEBEVİ VASİYET","Peygamberimiz ve Ashab","Ramazan, Oruç ve Bayramlar","karma","bilgilendirme; teşvik","ümmet","ahlaki"
