tarih,baslik,ana_kategori,ikincil_kategoriler,cerceve,ton,muhatap,eylem_cagrisi
"29.07.2022","HİCRETİMİZ RABBİMİZE OLSUN","Peygamberimiz ve Ashab","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik; bilgilendirme","genel","ahlaki"
"05.08.2022","MUHARREM AYI VE KERBELÂ","Kandiller, Muharrem ve Mübarek Geceler","","cemaat-toplum","teselli; teşvik","ümmet","ritüel"
"12.08.2022","İMAN, SALİH AMEL VE GÜZEL AHLAKLA KEMALE ERER","Sabır, Tevekkül ve Manevi Olgunluk","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"19.08.2022","ARŞIN GÖLGESİNDE KORUNMAKLA MÜJDELENEN GENÇ","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab","aile","teşvik; bilgilendirme","gençler","ahlaki"
"26.08.2022","ZAFERLERİMİZİN ARDINDAKİ RUH VE MANA","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"02.09.2022","ANNE BABA: CENNETİ KAZANMA VESİLESİ","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab","aile","teşvik; bilgilendirme","aileler","ahlaki"
"09.09.2022","İLİM BİR NURDUR","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","İman, Tevhid ve Ahiret","aile","teşvik; bilgilendirme","aileler","ahlaki"
"16.09.2022","TAKVA, HAYÂ VE TESETTÜR","Ahlak, Erdem ve Söz","İslam Coğrafyası ve Küresel Meseleler","birey","bilgilendirme; teşvik","genel","ahlaki"
"23.09.2022","HELAL KAZANÇ VE ALIN TERİ","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","esnaf-işveren","ahlaki"
"30.09.2022","ONUN (S.A.S) ÇAĞRISI","İbadet ve Kulluk","İman, Tevhid ve Ahiret","birey","teşvik; bilgilendirme","genel","ahlaki"
"07.10.2022","ÂLEMLERE RAHMET HZ. MUHAMMED (S.A.S)","Peygamberimiz ve Ashab","","birey","teşvik; bilgilendirme","genel","ahlaki"
"14.10.2022","KUL VE KAMU HAKKI","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","bilgilendirme; uyarı","genel","ahlaki"
"21.10.2022","KOMŞULUK HUKUKU","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","teşvik; teselli","genel","ahlaki"
"28.10.2022","AİLE OLMAK: İLAHİ LÜTUF","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","aile","teşvik; bilgilendirme","aileler","ahlaki"
"04.11.2022","HAYAT REHBERİMİZ KUR'AN","Kur'an-ı Kerim","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"11.11.2022","ÖNCE TEDBİR SONRA TEVEKKÜL","Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk","cemaat-toplum","uyarı; teşvik","genel","ahlaki; katılım"
"18.11.2022","İMAN VE İSTİKAMET","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; kınama","genel","ahlaki"
"25.11.2022","MERHAMET TOPLUMU","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","birey","teşvik; bilgilendirme","genel","ahlaki"
"02.12.2022","ENGEL OLMA, FARKINDA OL","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"09.12.2022","HAYDİ NAMAZA! HAYDİ KURTULUŞA!","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","aileler","ritüel"
"16.12.2022","ÇOCUK: RABBİMİZİN KIYMETLİ EMANETİ","Aile, Çocuk ve Nesil","","aile","kınama; uyarı","aileler","ahlaki"
"23.12.2022","BİZİ BİZ YAPAN DEĞERLERE SAHİP ÇIKALIM","Ahlak, Erdem ve Söz","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim; Ekonomik Hayat: Kazanç, Zekat ve İsraf","cemaat-toplum","uyarı; teşvik","genel","ahlaki"
"30.12.2022","HAYATIN TEKRARI YOK","Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret","birey","uyarı; teşvik","genel","ahlaki"
