"id","tarih","baslik","ana_kategori","ikincil_kategoriler","cerceve","ton","muhatap","eylem_cagrisi"
"2014-02-14","14.02.2014","AFFETMEK","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","bilgilendirme; teşvik","genel","ahlaki"
"2014-02-21","21.02.2014","KALB-İ SELİM (III)","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2014-02-28","28.02.2014","İMAN, ÖZGÜRLÜK VE BAĞIMLILIK","Afet, Kriz ve Sağlık","Aile, Çocuk ve Nesil","aile","uyarı; teşvik","aileler","ahlaki"
"2014-03-07","07.03.2014","İMAN VE İSTİKAMET ÜZERE OLMAK","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2014-03-21","21.03.2014","İMTİHAN DÜNYASI","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; teselli","genel","ahlaki"
"2014-03-28","28.03.2014","HÜRRİYET VE MESULİYET","Ahlak, Erdem ve Söz","Sabır, Tevekkül ve Manevi Olgunluk","birey","bilgilendirme; teşvik","genel","ahlaki"
"2014-04-04","04.04.2014","DOĞRULUK VE SADAKA","Ahlak, Erdem ve Söz","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2014-04-11","11.04.2014","KUTLU DOĞUM","Peygamberimiz ve Ashab","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"2014-04-18","18.04.2014","KULLUK SINAVIMIZ: İHLAS VE SAMİMİYET","Ahlak, Erdem ve Söz","İbadet ve Kulluk","birey","teşvik; uyarı","genel","ahlaki; ritüel"
"2014-05-16","16.05.2014","MÜMİNLER TEK VÜCUT GİBİDİR","Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk","cemaat-toplum","teselli; teşvik","millet","ritüel"
"2014-05-23","23.05.2014","MİRAÇ KANDİLİ","Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ritüel"
"2014-05-30","30.05.2014","TÖVBE VE İSTİĞFAR MEVSİMİ ÜÇ AYLAR","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik","genel","ritüel"
"2014-06-06","06.06.2014","DUA, İBADETİN ÖZÜDÜR","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"2014-06-13","13.06.2014","İMANIN ŞUBELERİ","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","birey","bilgilendirme; teşvik","genel","ahlaki"
"2014-06-20","20.06.2014","CAMİYE KOŞALIM, KUR’AN’LA BULUŞALIM","Kur'an-ı Kerim","Aile, Çocuk ve Nesil","aile","teşvik","aileler","katılım; ahlaki"
"2014-06-27","27.06.2014","KİMSE KİMSESİZ KALMASIN, BU RAMAZAN VE HER ZAMAN!","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar","cemaat-toplum","teşvik; teselli","genel","ahlaki"
"2014-07-11","11.07.2014","KİMSESİZLERİN KİMSESİ OLABİLMEK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Aile, Çocuk ve Nesil","cemaat-toplum","teşvik; teselli","genel","ahlaki; maddi"
"2014-07-18","18.07.2014","MAZLUMLARIN ÜMİDİ OLABİLMEK","İslam Coğrafyası ve Küresel Meseleler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","kınama; teselli","ümmet","maddi; ritüel"
"2014-07-25","25.07.2014","RAMAZAN MUHASEBESİ","Ramazan, Oruç ve Bayramlar","Ekonomik Hayat: Kazanç, Zekat ve İsraf","birey","uyarı; teşvik","genel","ahlaki; maddi"
"2014-07-28","28.07.2014","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; teselli","ümmet","ahlaki"
"2014-08-08","08.08.2014","SADIK İMAN, SAMİMİ NİYET, SALİH AMEL","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2014-08-15","15.08.2014","PEYGAMBERE İMAN OLMADAN ALLAH’A İMAN OLMAZ","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","bilgilendirme; teşvik","genel","ahlaki"
"2014-08-22","22.08.2014","HAYÂ HAYATTIR!","Ahlak, Erdem ve Söz","","birey","bilgilendirme; uyarı","genel","ahlaki"
"2014-08-29","29.08.2014","ZAFERLER ALLAH’TANDIR","Vatan, Millet ve Tarih","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"2014-09-05","05.09.2014","HAC: KALBE YOLCULUK","İbadet ve Kulluk","","birey","bilgilendirme; teşvik","genel","ritüel"
"2014-09-12","12.09.2014","BİLGİ AHLÂKI","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz","birey","bilgilendirme; uyarı","genel","ahlaki"
"2014-09-26","26.09.2014","İŞ VE TİCARET AHLAKI-ÂHİLİK","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","bilgilendirme; uyarı","genel","ahlaki"
"2014-10-03","03.10.2014","KURBAN ALLAH’A YAKIN OLMAK İÇİNDİR","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; bilgilendirme","genel","ritüel; maddi"
"2014-10-04","04.10.2014","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; ahlaki"
"2014-10-10","10.10.2014","BİZ KARDEŞİZ","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"2014-10-17","17.10.2014","ARŞIN GÖLGESİNDEKİ GENÇLİK","Aile, Çocuk ve Nesil","","birey","teşvik","gençler","ahlaki"
"2014-10-24","24.10.2014","HİCRET: FITRATA YAPILAN YOLCULUK","Kandiller, Muharrem ve Mübarek Geceler","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik","genel","ahlaki"
"2014-10-31","31.10.2014","ORTAK HÜZÜN VE İBRET AYI: MUHARREM","Kandiller, Muharrem ve Mübarek Geceler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","ümmet","ritüel; ahlaki"
"2014-11-07","07.11.2014","MESCİD-İ AKSÂ KAN AĞLIYOR","İslam Coğrafyası ve Küresel Meseleler","","cemaat-toplum","kınama; teselli","ümmet","ritüel"
"2014-11-21","21.11.2014","HAYIR HAZİNELER DOLUSUDUR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"2014-11-28","28.11.2014","DİLİN ESİRİ OLMAYALIM!","Ahlak, Erdem ve Söz","","birey","uyarı; teşvik","genel","ahlaki"
"2014-12-05","05.12.2014","AHİRET: HESAP VERME BİLİNCİ","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2014-12-12","12.12.2014","MUSİBETLER KARŞISINDA SABIR, MÜMİNCE BİR TAVIRDIR","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; teselli","genel","ahlaki"
"2014-12-26","26.12.2014","PAHA BİÇİLMEZ SERMAYE: ÖMÜR","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; uyarı","genel","ahlaki"
"2015-03-13","13.03.2015","ÇANAKKALE ŞEHİTLERİNE…","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"2015-03-20","20.03.2015","İNSANI İYİLİK YAŞATIR","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik","genel","ahlaki"
"2015-03-27","27.03.2015","KUL VE KAMU HAKKI","Ahlak, Erdem ve Söz","Ekonomik Hayat: Kazanç, Zekat ve İsraf","birey","uyarı; bilgilendirme","genel","ahlaki"
"2015-04-03","03.04.2015","HAKİKİ SEVGİ: ALLAH’I SEVMEK, ALLAH İÇİN SEVMEK","İman, Tevhid ve Ahiret","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik","genel","ahlaki"
"2015-04-10","10.04.2015","HZ. PEYGAMBER VE BİRLİKTE YAŞAMA AHLAKI","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"2015-04-17","17.04.2015","DÜNYA BİZE, BİZ BİRBİRİMİZE EMANETİZ!","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"2015-04-24","24.04.2015","MANEVİ COŞKUNUN ZİRVESİ: ÜÇ AYLAR","Kandiller, Muharrem ve Mübarek Geceler","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; teselli","genel","ahlaki"
"2015-05-01","01.05.2015","KALBİN CİLÂSI: TÖVBE VE İSTİĞFAR","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik","genel","ritüel"
"2015-05-08","08.05.2015","CANA CAN OLMAK: AİLE","Aile, Çocuk ve Nesil","","aile","teşvik; bilgilendirme","aileler","ahlaki"
"2015-05-15","15.05.2015","MİRAÇ KANDİLİ","Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ritüel"
"2015-05-22","22.05.2015","BOŞ ŞEYLERİ TERK EDEREK HAYATI ANLAMLI KILMAK","Ahlak, Erdem ve Söz","","birey","uyarı; teşvik","genel","ahlaki"
"2015-05-29","29.05.2015","TEVBEMİZ BERATIMIZ OLSUN","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik","genel","ritüel"
"2015-06-05","05.06.2015","İSLÂM, IRKÇILIĞIN HER TÜRLÜSÜNÜ REDDEDER","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","kınama; bilgilendirme","genel","ahlaki"
"2015-06-12","12.06.2015","KUR’AN AYINDA KUR’AN’LA BULUŞALIM!","Kur'an-ı Kerim","Aile, Çocuk ve Nesil","aile","teşvik","aileler","katılım; ahlaki"
"2015-06-19","19.06.2015","VAKİT İYİLİK VAKTİ: BU RAMAZAN VE HER ZAMAN","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar","cemaat-toplum","teşvik","genel","ahlaki; maddi"
"2015-06-26","26.06.2015","TEVHİD İLE GELEN VAHDET","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","ümmet","ahlaki"
"2015-07-03","03.07.2015","CENNET KAPILARININ ANAHTARI: YETİMLER","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","genel","ahlaki; maddi"
"2015-07-10","10.07.2015","KADİR GECESİ, KADİR BİLENLER İÇİNDİR","Kandiller, Muharrem ve Mübarek Geceler","Kur'an-ı Kerim","birey","teşvik; teselli","genel","ritüel"
"2015-07-17","17.07.2015","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ahlaki"
"2015-08-07","07.08.2015","KULLUĞUN ÖZÜ: İHSAN","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2015-08-14","14.08.2015","İMANIN TEZAHÜRÜ: FEDAKÂRLIK VE İSÂR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"2015-08-21","21.08.2015","BİRLİK VE BERABERLİĞİMİZİN HARCI: KARDEŞLİĞİMİZ","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Vatan, Millet ve Tarih","cemaat-toplum","teşvik; teselli","millet","ahlaki"
"2015-08-28","28.08.2015","HAC YOLCULUĞUNDAN HAK YOLCULUĞUNA","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"2015-09-04","04.09.2015","KARDEŞLİĞİ KÖRELTEN AFETLER: TECESSÜS, SU-İ ZAN…","Ahlak, Erdem ve Söz","","birey","uyarı; bilgilendirme","genel","ahlaki"
"2015-09-11","11.09.2015","BİRLİĞİMİZİ, BERABERLİĞİMİZİ, KARDEŞLİĞİMİZİ MUHAFAZA EDELİM!","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","millet","ritüel; ahlaki"
"2015-09-18","18.09.2015","KURBANLARIMIZ KARDEŞLİK İÇİN!","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; maddi"
"2015-09-24","24.09.2015","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","ümmet","ritüel; ahlaki"
"2015-10-02","02.10.2015","YARATAN RABBİNİN ADIYLA OKU!","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","aileler","ahlaki"
"2015-10-09","09.10.2015","NAMAZ DİRİLİŞTİR","İbadet ve Kulluk","","birey","teşvik; bilgilendirme","genel","ritüel"
"2015-10-16","16.10.2015","MERHAMET İKSİRİNİ YUDUMLAYABİLMEK","Kandiller, Muharrem ve Mübarek Geceler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","ümmet","ahlaki"
"2015-10-23","23.10.2015","KERBELÂ’YI DOĞRU ANLAMAK","Kandiller, Muharrem ve Mübarek Geceler","","cemaat-toplum","teselli; bilgilendirme","ümmet","ritüel"
"2015-10-30","30.10.2015","PEYGAMBERLER, İNSANLIĞIN YOLUNU AYDINLATAN REHBERLERDİR","Peygamberimiz ve Ashab","İman, Tevhid ve Ahiret","birey","bilgilendirme; teşvik","genel","ahlaki"
"2015-11-06","06.11.2015","HER İNSAN ALLAH’IN BİR ÂYETİDİR!","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki"
"2015-11-13","13.11.2015","ZİKİR: KALPLERE HAYAT VEREN İKSİR","Sabır, Tevekkül ve Manevi Olgunluk","İbadet ve Kulluk","birey","teşvik; bilgilendirme","genel","ritüel"
"2015-11-20","20.11.2015","KÜRESEL TERÖRÜN HEDEF ALDIĞI DİN: İSLAM","İslam Coğrafyası ve Küresel Meseleler","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","cemaat-toplum","kınama; uyarı","ümmet","ahlaki"
"2015-11-27","27.11.2015","İMANI HAYAT KILABİLMEK","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"2015-12-04","04.12.2015","BEDEN ÜLKESİNİN SULTANI: KALP","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","birey","teşvik; bilgilendirme","genel","ahlaki"
"2015-12-11","11.12.2015","DÜNYA-AHİRET DENGESİ","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2015-12-18","18.12.2015","RAHMET VE MERHAMET YÜKLÜ ADALET PEYGAMBERİ","Peygamberimiz ve Ashab","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ahlaki"
"2015-12-25","25.12.2015","SAYILI NEFESLERİMİZİ TÜKETİRKEN…","Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret","birey","uyarı; teşvik","genel","ahlaki"
"2016-01-01","01.01.2016","RABBİMİZ! BİZİ DOSDOĞRU YOLA İLET!","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"2016-01-08","08.01.2016","EDEP VE HAYÂ","Ahlak, Erdem ve Söz","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","birey","uyarı; teşvik","genel","ahlaki"
"2016-01-15","15.01.2016","İMTİHANIN ADI: FİTNE","Ahlak, Erdem ve Söz","Vatan, Millet ve Tarih","cemaat-toplum","uyarı; teşvik","genel","ahlaki"
"2016-01-22","22.01.2016","SÖZ AHLAKI","Ahlak, Erdem ve Söz","","birey","bilgilendirme; uyarı","genel","ahlaki"
"2016-01-29","29.01.2016","EN GÜZEL İSİMLER O’NUNDUR","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2016-02-05","05.02.2016","ŞİMDİ YARALARI SARMA ZAMANI!","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","millet","maddi; ahlaki"
"2016-02-12","12.02.2016","PEYGAMBERE İMAN TEVHİDİN BİR GEREĞİDİR","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","bilgilendirme; teşvik","genel","ahlaki"
"2016-02-19","19.02.2016","PEYGAMBERLER ALLAH’IN KUTLU ELÇİLERİDİR","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","bilgilendirme; teselli","genel","ahlaki"
"2016-02-26","26.02.2016","ÂHİRETE İMAN","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2016-03-04","04.03.2016","KİTAPLARA İMAN","İman, Tevhid ve Ahiret","Kur'an-ı Kerim","birey","bilgilendirme; teşvik","genel","ahlaki"
"2016-03-11","11.03.2016","DÜNYAYI İYİLİK DEĞİŞTİRİR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","birey","teşvik","genel","ahlaki"
"2016-03-18","18.03.2016","ÇANAKKALE VE BİRLİK RUHU","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; teselli","millet","ritüel; ahlaki"
"2016-03-25","25.03.2016","HAK VE HAKİKAT","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","bilgilendirme; teşvik","genel","ahlaki"
